level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,actual_published_level,candidate_pool_count,candidate_mode_count,oracle_candidate_mode,oracle_candidate_rank,oracle_candidate_cluster_mid,oracle_candidate_cluster_min,oracle_candidate_cluster_max,oracle_candidate_cluster_width,oracle_candidate_abs_error,oracle_candidate_within_3,oracle_candidate_within_5,oracle_candidate_keys,oracle_top1_mode,oracle_top1_cluster_mid,oracle_top1_abs_error,oracle_top1_within_3,oracle_top1_within_5,oracle_top1_keys,router_selected_mode,router_route_source,router_confidence_score,router_cluster_rank,router_cluster_mid,router_cluster_min,router_cluster_max,router_cluster_width,router_abs_error,router_within_3,router_within_5,router_candidate_keys,router_minus_oracle_abs_error,router_minus_oracle_top1_abs_error,oracle_top1_minus_oracle_abs_error,candidate_generation_status,oracle_gap_class,correct_candidate_existed_within_3,correct_candidate_existed_within_5,router_missed_available_within_5,mode_selection_failure,candidate_ranking_failure,candidate_generation_failure
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,20.0,5.0,MODE_C_BALANCED,2.0,4072.66125,4072.66125,4072.66125,0.0,1.03125,1.0,1.0,green_box_quarter::green_box_2_25pct,MODE_C_BALANCED,4057.785848,13.844152,0.0,0.0,prior_range_fraction::prev_range_0.666667 | green_box_edge::green_edge_1,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,39.026667,1.0,4116.54,4116.54,4116.54,0.0,44.91,0.0,0.0,green_box_edge::green_edge_2,43.87875,31.065848,12.812902,ORACLE_WITHIN_3,CANDIDATE_RANKING_FAILURE_LOWER_RANK_CANDIDATE,1.0,1.0,1.0,0.0,1.0,0.0
2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4039.56,25.0,5.0,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,1.0,4028.035,4028.035,4028.035,0.0,11.525,0.0,0.0,red_box_edge::red_edge_1,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,4028.035,11.525,0.0,0.0,red_box_edge::red_edge_1,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,40.439925,1.0,4028.035,4028.035,4028.035,0.0,11.525,0.0,0.0,red_box_edge::red_edge_1,0.0,0.0,0.0,ORACLE_GT10_CANDIDATE_GENERATION_FAIL,CANDIDATE_GENERATION_FAILURE_GT10,0.0,0.0,0.0,0.0,0.0,1.0
2026-06-30,2026-06-29,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4005.44,20.0,5.0,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,2.0,4012.28125,4010.40625,4014.15625,3.75,6.84125,0.0,0.0,prior_range_fraction::prev_range_0.125 | green_box_quarter::green_box_1_25pct,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,4021.2825,15.8425,0.0,0.0,prior_range_fraction::prev_range_0.25,MODE_C_BALANCED,REGIME_LEVEL_EXACT,40.412583,1.0,4021.2825,4021.2825,4021.2825,0.0,15.8425,0.0,0.0,prior_range_fraction::prev_range_0.25,9.00125,0.0,9.00125,ORACLE_WITHIN_10,ORACLE_ONLY_REDUCES_ERROR_NOT_WITHIN_5,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-30,2026-06-29,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,3967.25,25.0,5.0,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,2.0,3954.90375,3954.90375,3954.90375,0.0,12.34625,0.0,0.0,red_box_quarter::red_box_3_25pct,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,4010.40625,43.15625,0.0,0.0,prior_range_fraction::prev_range_0.125,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,37.443708,1.0,4010.40625,4010.40625,4010.40625,0.0,43.15625,0.0,0.0,prior_range_fraction::prev_range_0.125,30.81,0.0,30.81,ORACLE_GT10_CANDIDATE_GENERATION_FAIL,CANDIDATE_GENERATION_FAILURE_GT10,0.0,0.0,0.0,0.0,0.0,1.0
