setup_id,category,direction,trigger_rank,target_rank,required_distance_bucket,required_state_alignment,research_basis,selected_level_date,scan_date,status,status_detail,candidate_available,trigger_level,target_level,next_distance,next_distance_bucket,trigger_found,research_only,latest_datetime,latest_close,latest_ema5,latest_channel_state,latest_state_alignment,session_latest_datetime,session_latest_close,session_latest_ema5,session_latest_channel_state,session_latest_state_alignment
PROMOTED_UP_LV3_TO_LV2_15_30,PROMOTED,up,LV3,LV2,15_30,with_state,"Repaired v1.3 promoted candidate: UP LV3 -> LV2, next-distance 15-30, with_state.",2026-06-26,2026-06-26,NO_CANDIDATE_MAP,"LV3->LV2 distance bucket is 75_100, not required bucket 15_30.",False,4074.843508,4151.724196,76.88068800000019,75_100,False,True,2026-06-26 23:00:00,4088.41,4078.0084686940013,ema_proxy_up,with_state,,,,,
PROMOTED_DOWN_LV7_TO_LV8_30_50,PROMOTED,down,LV7,LV8,30_50,with_state,"Repaired v1.3 promoted candidate: DOWN LV7 -> LV8, next-distance 30-50, with_state.",2026-06-26,2026-06-26,NO_CANDIDATE_MAP,"LV7->LV8 distance bucket is 15_30, not required bucket 30_50.",False,3938.919658,3921.082131,17.83752699999968,15_30,False,True,2026-06-26 23:00:00,4088.41,4078.0084686940013,ema_proxy_up,counter_state,,,,,
WATCHLIST_DOWN_LV5_TO_LV6_15_30,WATCHLIST,down,LV5,LV6,15_30,with_state,"Repaired v1.3 watchlist: DOWN LV5 -> LV6, next-distance 15-30, with_state. Watchlist because MFE edge failed despite target/invalidation edges.",2026-06-26,2026-06-26,WAITING_FOR_TRIGGER,Map condition exists; waiting for EMA5 cross-lock downward through LV5.,True,3997.96282,3977.245898,20.716922000000068,15_30,False,True,2026-06-26 23:00:00,4088.41,4078.0084686940013,ema_proxy_up,counter_state,2026-06-26 23:00:00,4088.41,4078.0084686940013,ema_proxy_up,counter_state
