level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,selected_mode,route_source,fallback_mode_used,router_prior_count,router_top1_within_3,router_top1_within_5,router_median_abs_error,router_rule_score,router_confidence_score,selected_mode_reason
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4055.18,AUTO_JSON,ema_proxy_up,UP,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,12.0,8.333333,8.333333,13.15,0.170833,39.026667,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=12
2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4055.18,AUTO_JSON,ema_proxy_up,UP,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,0.0,12.0,0.0,16.666667,15.65568,-0.54176,40.439925,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=12
2026-06-30,2026-06-29,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4055.18,AUTO_JSON,ema_proxy_up,UP,MODE_C_BALANCED,REGIME_LEVEL_EXACT,0.0,12.0,16.666667,16.666667,15.70125,4.090729,40.412583,REGIME_LEVEL_EXACT: best prior mode for L6; prior_count=12
2026-06-30,2026-06-29,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4055.18,AUTO_JSON,ema_proxy_up,UP,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,0.0,12.0,8.333333,16.666667,20.649375,-1.953698,37.443708,REGIME_LEVEL_EXACT: best prior mode for L7; prior_count=12
