calibration_mode,range_bucket,close_position_bucket,rows_bucket,date_count,median_top1_abs_error,avg_top3_within_5,median_best_abs_error,ordered_ladder_median_abs_error,ordered_ladder_avg_within_5,regime_calibration_score
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,30.0,16.94875,36.666667,6.284375,16.29375,17.5,16.971958
MODE_C_BALANCED,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,30.0,16.885625,38.333333,6.284375,16.62375,15.833333,16.931927
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,25.0,22.91682,39.0,7.3175,19.72234,19.0,16.904126
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3.0,24.97125,33.333333,16.14625,24.97125,33.333333,16.741958
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,6.0375,25.0,6.0375,6.0375,25.0,16.28875
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,6.0375,25.0,6.0375,6.0375,25.0,16.28875
MODE_C_BALANCED,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,6.0375,25.0,6.0375,6.0375,25.0,16.28875
MODE_D_NEAREST_VALID_LADDER,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,6.0375,25.0,6.0375,6.0375,25.0,16.28875
MODE_E_SPACING_PRESERVATION,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,6.0375,25.0,6.0375,6.0375,25.0,16.28875
MODE_D_NEAREST_VALID_LADDER,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,25.0,19.55375,38.0,7.3175,19.72234,15.0,15.658586
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,6.0,12.719688,30.555556,8.5025,12.9925,20.0,15.637616
MODE_E_SPACING_PRESERVATION,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,6.0,12.719688,30.555556,8.5025,12.9925,20.0,15.637616
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,7.0,15.292489,39.285714,6.174062,15.292489,10.714286,15.012253
MODE_C_BALANCED,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,7.0,15.292489,39.285714,6.174062,15.292489,10.714286,15.012253
MODE_D_NEAREST_VALID_LADDER,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,7.0,15.292489,39.285714,6.174062,15.292489,10.714286,15.012253
MODE_E_SPACING_PRESERVATION,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,7.0,15.292489,39.285714,6.174062,15.292489,10.714286,15.012253
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,14.0,20.597187,33.928571,5.456875,20.6425,17.857143,14.939047
MODE_D_NEAREST_VALID_LADDER,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,14.0,20.597187,32.142857,5.456875,17.056995,17.857143,14.851873
MODE_E_SPACING_PRESERVATION,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,14.0,21.408285,32.142857,5.456875,21.359222,17.857143,14.084874
MODE_C_BALANCED,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,14.0,21.408285,30.357143,5.456875,20.597187,17.857143,13.574179
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,14.0,21.408285,30.357143,5.456875,22.590368,17.857143,13.275202
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,13.0,20.535,23.076923,9.575625,22.74,13.461538,9.297212
MODE_C_BALANCED,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,13.0,22.836875,23.076923,9.575625,22.836875,13.461538,8.937399
MODE_E_SPACING_PRESERVATION,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,13.0,22.836875,23.076923,9.575625,22.836875,13.461538,8.937399
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4.0,12.71904,18.75,12.71904,12.71904,12.5,8.321788
MODE_D_NEAREST_VALID_LADDER,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4.0,12.71904,18.75,12.71904,12.71904,12.5,8.321788
MODE_D_NEAREST_VALID_LADDER,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4.0,35.062188,31.25,13.812188,36.377812,18.75,7.984
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,13.0,24.366667,21.153846,9.575625,22.836875,11.538462,7.361776
MODE_D_NEAREST_VALID_LADDER,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,13.0,22.836875,23.076923,9.575625,24.366667,9.615385,7.361776
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5.0,16.091675,15.0,14.055829,16.091675,15.0,7.172497
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5.0,16.091675,15.0,14.055829,16.091675,15.0,7.172497
MODE_C_BALANCED,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5.0,16.091675,15.0,14.055829,16.091675,15.0,7.172497
MODE_D_NEAREST_VALID_LADDER,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5.0,16.091675,15.0,14.055829,16.091675,15.0,7.172497
MODE_E_SPACING_PRESERVATION,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,5.0,16.091675,15.0,14.055829,16.091675,15.0,7.172497
MODE_D_NEAREST_VALID_LADDER,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,13.0,23.870625,21.153846,11.521667,24.119144,9.615385,6.570765
MODE_C_BALANCED,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4.0,12.71904,18.75,12.71904,12.71904,6.25,6.134288
MODE_E_SPACING_PRESERVATION,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4.0,12.71904,18.75,12.71904,12.71904,6.25,6.134288
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4.0,33.085938,31.25,13.812188,52.252188,18.75,5.899281
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,13.0,23.870625,21.153846,11.521667,24.119144,7.692308,5.897688
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_SPARSE_1_8,4.0,14.44625,18.75,12.71904,14.44625,6.25,5.616125
MODE_E_SPACING_PRESERVATION,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,8.0,30.118281,18.75,16.26698,23.175625,12.5,5.343414
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,2.0,14.393598,12.5,14.393598,14.393598,12.5,5.031921
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,2.0,14.393598,12.5,14.393598,14.393598,12.5,5.031921
MODE_C_BALANCED,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,2.0,14.393598,12.5,14.393598,14.393598,12.5,5.031921
MODE_D_NEAREST_VALID_LADDER,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,2.0,14.393598,12.5,14.393598,14.393598,12.5,5.031921
MODE_E_SPACING_PRESERVATION,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,2.0,14.393598,12.5,14.393598,14.393598,12.5,5.031921
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,8.0,28.265781,18.75,16.26698,28.265781,9.375,3.764016
MODE_D_NEAREST_VALID_LADDER,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,8.0,28.265781,18.75,16.26698,28.265781,9.375,3.764016
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4.0,50.08125,37.5,13.812188,50.08125,12.5,3.675625
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,8.0,30.118281,18.75,16.26698,28.265781,9.375,3.486141
MODE_E_SPACING_PRESERVATION,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,13.0,26.082505,17.307692,11.521667,26.082505,5.769231,3.252172
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,6.0,23.959062,12.5,13.851875,26.468438,12.5,2.985875
MODE_C_BALANCED,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,6.0,23.959062,12.5,13.851875,26.468438,12.5,2.985875
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,6.0,26.468438,12.5,13.851875,26.468438,12.5,2.609469
MODE_D_NEAREST_VALID_LADDER,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,6.0,26.468438,12.5,13.851875,26.468438,12.5,2.609469
MODE_E_SPACING_PRESERVATION,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,6.0,26.468438,12.5,13.851875,26.468438,12.5,2.609469
MODE_C_BALANCED,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,13.0,26.082505,17.307692,11.521667,26.082505,3.846154,2.579095
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3.0,24.64,16.666667,20.705625,24.64,8.333333,2.258
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3.0,24.64,16.666667,20.705625,24.64,8.333333,2.258
MODE_D_NEAREST_VALID_LADDER,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3.0,24.64,16.666667,20.705625,24.64,8.333333,2.258
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,13.0,34.88875,17.307692,11.521667,24.119144,5.769231,2.225739
MODE_C_BALANCED,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,8.0,31.095,18.75,16.26698,30.948281,6.25,1.843508
MODE_C_BALANCED,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3.0,27.7775,16.666667,20.705625,24.64,8.333333,1.787375
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5.0,29.485,15.0,23.21375,29.485,10.0,1.4045
MODE_C_BALANCED,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5.0,29.485,15.0,23.21375,29.485,10.0,1.4045
MODE_E_SPACING_PRESERVATION,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5.0,29.485,15.0,23.21375,35.22,10.0,0.54425
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5.0,35.22,15.0,23.21375,35.22,10.0,-0.316
MODE_D_NEAREST_VALID_LADDER,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,5.0,35.22,15.0,23.21375,35.22,10.0,-0.316
MODE_E_SPACING_PRESERVATION,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3.0,24.64,16.666667,20.705625,27.7775,0.0,-1.129292
MODE_C_BALANCED,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4.0,65.955625,31.25,13.812188,65.955625,12.5,-3.274187
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,3.0,40.891285,8.333333,36.82316,40.891285,8.333333,-5.534052
MODE_C_BALANCED,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,3.0,40.891285,8.333333,36.82316,40.891285,8.333333,-5.534052
MODE_D_NEAREST_VALID_LADDER,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,25.39821,0.0,16.1025,20.93125,0.0,-6.349419
MODE_E_SPACING_PRESERVATION,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,25.39821,0.0,16.1025,23.08321,0.0,-6.672213
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,25.39821,0.0,16.1025,25.39821,0.0,-7.019463
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,25.39821,0.0,16.1025,25.39821,0.0,-7.019463
MODE_C_BALANCED,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,2.0,25.39821,0.0,16.1025,25.39821,0.0,-7.019463
MODE_E_SPACING_PRESERVATION,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4.0,50.08125,37.5,13.812188,92.654375,0.0,-7.085344
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,1.0,27.674792,0.0,27.674792,27.674792,0.0,-8.002438
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,1.0,27.674792,0.0,27.674792,27.674792,0.0,-8.002438
MODE_C_BALANCED,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,1.0,27.674792,0.0,27.674792,27.674792,0.0,-8.002438
MODE_D_NEAREST_VALID_LADDER,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,1.0,27.674792,0.0,27.674792,27.674792,0.0,-8.002438
MODE_E_SPACING_PRESERVATION,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,1.0,27.674792,0.0,27.674792,27.674792,0.0,-8.002438
MODE_A_LIVE_PROXIMITY_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,1.0,28.485,0.0,28.485,28.485,0.0,-8.2455
MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,1.0,28.485,0.0,28.485,28.485,0.0,-8.2455
