level_date,prev_date,published_level,source_column,best_anchor_price,signed_distance_points,abs_distance_points,within_tolerance,within_1,within_2,within_3,within_5,within_10,best_anchor_family,best_anchor_name,best_anchor_side,best_box_index,best_fraction,prev_high,prev_low,prev_close,prev_range,box_size,box_padding
2025-10-01,2025-09-30,1.0,level_name,3654.64,-3653.64,3653.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,2.0,level_name,3654.64,-3652.64,3652.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,3.0,level_name,3654.64,-3651.64,3651.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,4.0,level_name,3654.64,-3650.64,3650.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,5.0,level_name,3654.64,-3649.64,3649.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,6.0,level_name,3654.64,-3648.64,3648.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,7.0,level_name,3654.64,-3647.64,3647.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,8.0,level_name,3654.64,-3646.64,3646.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,9.0,level_name,3654.64,-3645.64,3645.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-01,2025-09-30,10.0,level_name,3654.64,-3644.64,3644.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3871.72,3793.18,3858.28,78.53999999999996,54.26999999999998,30.0
2025-10-02,2025-10-01,1.0,level_name,3751.23,-3750.23,3750.23,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3895.37,3853.3,3865.54,42.06999999999971,36.034999999999854,30.0
2025-10-02,2025-10-01,2.0,level_name,3751.23,-3749.23,3749.23,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3895.37,3853.3,3865.54,42.06999999999971,36.034999999999854,30.0
2025-10-02,2025-10-01,3.0,level_name,3751.23,-3748.23,3748.23,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3895.37,3853.3,3865.54,42.06999999999971,36.034999999999854,30.0
2025-10-02,2025-10-01,4.0,level_name,3751.23,-3747.23,3747.23,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3895.37,3853.3,3865.54,42.06999999999971,36.034999999999854,30.0
2025-10-02,2025-10-01,5.0,level_name,3751.23,-3746.23,3746.23,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3895.37,3853.3,3865.54,42.06999999999971,36.034999999999854,30.0
2025-10-02,2025-10-01,6.0,level_name,3751.23,-3745.23,3745.23,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3895.37,3853.3,3865.54,42.06999999999971,36.034999999999854,30.0
2025-10-02,2025-10-01,7.0,level_name,3751.23,-3744.23,3744.23,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3895.37,3853.3,3865.54,42.06999999999971,36.034999999999854,30.0
2025-10-02,2025-10-01,8.0,level_name,3751.23,-3743.23,3743.23,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3895.37,3853.3,3865.54,42.06999999999971,36.034999999999854,30.0
2025-10-02,2025-10-01,9.0,level_name,3751.23,-3742.23,3742.23,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3895.37,3853.3,3865.54,42.06999999999971,36.034999999999854,30.0
2025-10-02,2025-10-01,10.0,level_name,3751.23,-3741.23,3741.23,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3895.37,3853.3,3865.54,42.06999999999971,36.034999999999854,30.0
2025-10-03,2025-10-02,1.0,level_name,3682.17,-3681.17,3681.17,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3896.63,3819.4,3856.24,77.23000000000002,53.61500000000001,30.0
2025-10-03,2025-10-02,2.0,level_name,3682.17,-3680.17,3680.17,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3896.63,3819.4,3856.24,77.23000000000002,53.61500000000001,30.0
2025-10-03,2025-10-02,3.0,level_name,3682.17,-3679.17,3679.17,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3896.63,3819.4,3856.24,77.23000000000002,53.61500000000001,30.0
2025-10-03,2025-10-02,4.0,level_name,3682.17,-3678.17,3678.17,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3896.63,3819.4,3856.24,77.23000000000002,53.61500000000001,30.0
2025-10-03,2025-10-02,5.0,level_name,3682.17,-3677.17,3677.17,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3896.63,3819.4,3856.24,77.23000000000002,53.61500000000001,30.0
2025-10-03,2025-10-02,6.0,level_name,3682.17,-3676.17,3676.17,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3896.63,3819.4,3856.24,77.23000000000002,53.61500000000001,30.0
2025-10-03,2025-10-02,7.0,level_name,3682.17,-3675.17,3675.17,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3896.63,3819.4,3856.24,77.23000000000002,53.61500000000001,30.0
2025-10-03,2025-10-02,8.0,level_name,3682.17,-3674.17,3674.17,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3896.63,3819.4,3856.24,77.23000000000002,53.61500000000001,30.0
2025-10-03,2025-10-02,9.0,level_name,3682.17,-3673.17,3673.17,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3896.63,3819.4,3856.24,77.23000000000002,53.61500000000001,30.0
2025-10-03,2025-10-02,10.0,level_name,3682.17,-3672.17,3672.17,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3896.63,3819.4,3856.24,77.23000000000002,53.61500000000001,30.0
2025-10-06,2025-10-03,1.0,level_name,3724.45,-3723.45,3723.45,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3891.67,3838.06,3886.43,53.61000000000013,41.805000000000064,30.0
2025-10-06,2025-10-03,2.0,level_name,3724.45,-3722.45,3722.45,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3891.67,3838.06,3886.43,53.61000000000013,41.805000000000064,30.0
2025-10-06,2025-10-03,3.0,level_name,3724.45,-3721.45,3721.45,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3891.67,3838.06,3886.43,53.61000000000013,41.805000000000064,30.0
2025-10-06,2025-10-03,4.0,level_name,3724.45,-3720.45,3720.45,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3891.67,3838.06,3886.43,53.61000000000013,41.805000000000064,30.0
2025-10-06,2025-10-03,5.0,level_name,3724.45,-3719.45,3719.45,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3891.67,3838.06,3886.43,53.61000000000013,41.805000000000064,30.0
2025-10-06,2025-10-03,6.0,level_name,3724.45,-3718.45,3718.45,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3891.67,3838.06,3886.43,53.61000000000013,41.805000000000064,30.0
2025-10-06,2025-10-03,7.0,level_name,3724.45,-3717.45,3717.45,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3891.67,3838.06,3886.43,53.61000000000013,41.805000000000064,30.0
2025-10-07,2025-10-06,1.0,level_name,3738.7,-3737.7,3737.7,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3970.04,3884.37,3961.0,85.67000000000007,57.835000000000036,30.0
2025-10-07,2025-10-06,2.0,level_name,3738.7,-3736.7,3736.7,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3970.04,3884.37,3961.0,85.67000000000007,57.835000000000036,30.0
2025-10-07,2025-10-06,3.0,level_name,3738.7,-3735.7,3735.7,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3970.04,3884.37,3961.0,85.67000000000007,57.835000000000036,30.0
2025-10-07,2025-10-06,4.0,level_name,3738.7,-3734.7,3734.7,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3970.04,3884.37,3961.0,85.67000000000007,57.835000000000036,30.0
2025-10-07,2025-10-06,5.0,level_name,3738.7,-3733.7,3733.7,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,3970.04,3884.37,3961.0,85.67000000000007,57.835000000000036,30.0
