level_date,prev_date,prev_high,prev_low,prev_close,prev_open,prev_range,box_padding,box_size,anchor_family,anchor_name,anchor_side,box_index,fraction,anchor_price
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_hlc,previous_high,neutral,,,3347.52
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_hlc,previous_low,neutral,,,3274.79
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_hlc,previous_close,neutral,,,3327.15
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_hlc,previous_mid,neutral,,,3311.155
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_hlc,previous_pivot_hlc3,neutral,,,3316.486667
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.125,neutral,,0.125,3283.88125
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.25,neutral,,0.25,3292.9725
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.333333,neutral,,0.333333,3299.033309
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.382,neutral,,0.382,3302.57286
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.5,neutral,,0.5,3311.155
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.618,neutral,,0.618,3319.73714
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.666667,neutral,,0.666667,3323.276691
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.75,neutral,,0.75,3329.3375
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.875,neutral,,0.875,3338.42875
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_edge,green_edge_0,green,0.0,,3274.79
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_edge,green_edge_1,green,1.0,,3326.155
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_edge,green_edge_2,green,2.0,,3377.52
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_edge,green_edge_3,green,3.0,,3428.885
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_edge,green_edge_4,green,4.0,,3480.25
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_midline,green_mid_1,green,1.0,0.5,3300.4725
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_1_25pct,green,1.0,0.25,3287.63125
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_1_75pct,green,1.0,0.75,3313.31375
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_midline,green_mid_2,green,2.0,0.5,3351.8375
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_2_25pct,green,2.0,0.25,3338.99625
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_2_75pct,green,2.0,0.75,3364.67875
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_midline,green_mid_3,green,3.0,0.5,3403.2025
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_3_25pct,green,3.0,0.25,3390.36125
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_3_75pct,green,3.0,0.75,3416.04375
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_midline,green_mid_4,green,4.0,0.5,3454.5675
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_4_25pct,green,4.0,0.25,3441.72625
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_4_75pct,green,4.0,0.75,3467.40875
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_edge,red_edge_0,red,0.0,,3347.52
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_edge,red_edge_1,red,1.0,,3296.155
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_edge,red_edge_2,red,2.0,,3244.79
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_edge,red_edge_3,red,3.0,,3193.425
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_edge,red_edge_4,red,4.0,,3142.06
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_midline,red_mid_1,red,1.0,0.5,3321.8375
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_quarter,red_box_1_25pct,red,1.0,0.25,3334.67875
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_quarter,red_box_1_75pct,red,1.0,0.75,3308.99625
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_midline,red_mid_2,red,2.0,0.5,3270.4725
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_quarter,red_box_2_25pct,red,2.0,0.25,3283.31375
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_quarter,red_box_2_75pct,red,2.0,0.75,3257.63125
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_midline,red_mid_3,red,3.0,0.5,3219.1075
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_quarter,red_box_3_25pct,red,3.0,0.25,3231.94875
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_quarter,red_box_3_75pct,red,3.0,0.75,3206.26625
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_midline,red_mid_4,red,4.0,0.5,3167.7425
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_quarter,red_box_4_25pct,red,4.0,0.25,3180.58375
2025-05-11,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_quarter,red_box_4_75pct,red,4.0,0.75,3154.90125
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_hlc,previous_high,neutral,,,3347.52
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_hlc,previous_low,neutral,,,3274.79
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_hlc,previous_close,neutral,,,3327.15
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_hlc,previous_mid,neutral,,,3311.155
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_hlc,previous_pivot_hlc3,neutral,,,3316.486667
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.125,neutral,,0.125,3283.88125
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.25,neutral,,0.25,3292.9725
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.333333,neutral,,0.333333,3299.033309
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.382,neutral,,0.382,3302.57286
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.5,neutral,,0.5,3311.155
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.618,neutral,,0.618,3319.73714
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.666667,neutral,,0.666667,3323.276691
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.75,neutral,,0.75,3329.3375
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,prior_range_fraction,prev_range_0.875,neutral,,0.875,3338.42875
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_edge,green_edge_0,green,0.0,,3274.79
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_edge,green_edge_1,green,1.0,,3326.155
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_edge,green_edge_2,green,2.0,,3377.52
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_edge,green_edge_3,green,3.0,,3428.885
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_edge,green_edge_4,green,4.0,,3480.25
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_midline,green_mid_1,green,1.0,0.5,3300.4725
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_1_25pct,green,1.0,0.25,3287.63125
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_1_75pct,green,1.0,0.75,3313.31375
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_midline,green_mid_2,green,2.0,0.5,3351.8375
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_2_25pct,green,2.0,0.25,3338.99625
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_2_75pct,green,2.0,0.75,3364.67875
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_midline,green_mid_3,green,3.0,0.5,3403.2025
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_3_25pct,green,3.0,0.25,3390.36125
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_3_75pct,green,3.0,0.75,3416.04375
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_midline,green_mid_4,green,4.0,0.5,3454.5675
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_4_25pct,green,4.0,0.25,3441.72625
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,green_box_quarter,green_box_4_75pct,green,4.0,0.75,3467.40875
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_edge,red_edge_0,red,0.0,,3347.52
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_edge,red_edge_1,red,1.0,,3296.155
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_edge,red_edge_2,red,2.0,,3244.79
2025-05-12,2025-05-09,3347.52,3274.79,3327.15,3304.71,72.73000000000002,30.0,51.36500000000001,red_box_edge,red_edge_3,red,3.0,,3193.425
