rolling_oracle_source_family,rolling_oracle_source_type,oracle_win_count,rolling_oracle_pct_within_5,rolling_oracle_median_abs_error,rolling_recovered_within_5_pct,avg_prior_sample_count,avg_lookback_days
ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_mean,6.0,100.0,0.103877,50.0,82.166667,1.5
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_expanded_mean,6.0,100.0,0.322667,50.0,33.166667,3.666667
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_expanded_median,4.0,100.0,0.104161,50.0,59.25,3.75
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_recent12_median,4.0,100.0,0.226265,50.0,12.0,3.5
ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_recent12_median,2.0,100.0,0.075332,50.0,12.0,1.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_recent8_median,2.0,100.0,0.117812,50.0,8.0,5.5
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_mean,2.0,100.0,0.166478,50.0,8.0,12.5
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_recent12_median,2.0,100.0,0.207188,50.0,12.0,3.5
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_expanded_median,2.0,100.0,0.0525,50.0,81.5,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_expanded_recent12_median,2.0,100.0,0.759283,50.0,12.0,5.5
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_recent5_median,2.0,100.0,0.0275,50.0,5.0,20.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_expanded_recent12_median,2.0,100.0,0.399844,50.0,12.0,12.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_recent5_median,2.0,50.0,7.223479,50.0,5.0,3.5
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_expanded_q25,35.0,48.571429,6.695151,45.714286,66.771429,1.371429
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_superset_mean,11.0,100.0,0.031493,45.454545,41.0,3.181818
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_q25,14.0,42.857143,8.611246,42.857143,23.357143,7.714286
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_recent5_median,14.0,71.428571,1.85,42.857143,5.0,3.214286
ROLLING_LEVEL_RESIDUAL,superset_base_level_original_mean,7.0,100.0,0.061373,42.857143,57.857143,1.857143
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_superset_recent12_median,7.0,100.0,0.24125,42.857143,12.0,1.714286
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_original_q25,7.0,42.857143,27.098125,42.857143,38.0,13.142857
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_expanded_recent8_median,5.0,80.0,0.062604,40.0,8.0,6.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_q25,5.0,100.0,0.0825,40.0,13.4,14.6
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_recent5_median,5.0,100.0,0.1175,40.0,5.0,4.8
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_expanded_q75,26.0,38.461538,10.382747,38.461538,39.461538,5.846154
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_expanded_q25,11.0,72.727273,0.5375,36.363636,13.454545,6.454545
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_expanded_q75,33.0,33.333333,10.864375,33.333333,63.939394,1.212121
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_recent20_median,9.0,100.0,0.085,33.333333,20.0,1.777778
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_expanded_q75,6.0,50.0,3.494578,33.333333,14.0,15.0
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_expanded_recent8_median,6.0,100.0,0.246812,33.333333,8.0,1.666667
ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_recent20_median,3.0,100.0,0.025938,33.333333,20.0,1.0
ROLLING_LEVEL_RESIDUAL,superset_base_level_superset_recent20_median,3.0,100.0,0.07125,33.333333,20.0,1.666667
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_mean,3.0,100.0,0.088182,33.333333,22.666667,2.666667
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_mean,3.0,100.0,0.0535,33.333333,9.333333,6.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_original_recent20_median,3.0,100.0,0.066585,33.333333,20.0,3.333333
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_recent12_median,3.0,100.0,0.424583,33.333333,12.0,2.333333
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_expanded_q25,20.0,30.0,12.450625,30.0,36.6,4.95
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_expanded_q25,16.0,31.25,11.205056,25.0,31.875,7.1875
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_superset_recent20_median,4.0,100.0,0.300312,25.0,20.0,4.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_superset_q25,26.0,65.384615,0.615938,23.076923,34.230769,5.730769
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_q25,10.0,90.0,0.134676,20.0,11.2,9.7
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_expanded_recent20_median,5.0,100.0,0.069375,20.0,20.0,6.0
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_median,5.0,100.0,0.0625,20.0,60.4,2.6
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_recent8_median,6.0,100.0,0.140244,16.666667,7.333333,7.166667
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_q25,7.0,71.428571,0.31125,14.285714,12.285714,15.142857
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_mean,7.0,100.0,0.156552,14.285714,41.571429,2.142857
ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,27.0,44.444444,11.86625,0.0,,
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_original_q25,6.0,50.0,8.456146,0.0,39.5,8.666667
ROLLING_LEVEL_RESIDUAL,superset_base_level_original_median,5.0,100.0,0.1125,0.0,104.6,1.0
ROLLING_LEVEL_RESIDUAL,superset_base_level_superset_mean,5.0,100.0,0.103305,0.0,84.8,1.8
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_original_mean,5.0,100.0,0.010357,0.0,28.2,12.8
ROLLING_LEVEL_RESIDUAL,superset_base_level_original_recent20_median,4.0,100.0,0.440002,0.0,20.0,1.0
ROLLING_LEVEL_RESIDUAL,superset_base_level_superset_median,4.0,100.0,0.073658,0.0,67.75,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_original_mean,4.0,100.0,0.021131,0.0,38.5,1.75
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_original_median,3.0,100.0,0.10125,0.0,52.666667,6.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_original_recent20_median,2.0,100.0,0.121672,0.0,20.0,2.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_superset_median,2.0,100.0,0.161155,0.0,29.5,2.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_superset_recent5_median,2.0,100.0,0.148072,0.0,5.0,2.0
ROLLING_REGIME_LEVEL_RESIDUAL,original_base_regime_expanded_mean,2.0,100.0,0.136282,0.0,4.5,4.5
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_recent8_median,2.0,100.0,0.129688,0.0,8.0,3.0
ROLLING_BASE_SUPERSET,EXPANDED_ORACLE_BETTER,1.0,0.0,5.68,0.0,,
ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_expanded_q75,1.0,100.0,1.265469,0.0,4.0,2.0
ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_mean,1.0,100.0,0.429371,0.0,4.0,1.0
ROLLING_LEVEL_RESIDUAL,original_base_level_expanded_median,1.0,100.0,0.012813,0.0,134.0,3.0
ROLLING_LEVEL_RESIDUAL,original_base_level_expanded_recent12_median,1.0,100.0,0.076073,0.0,12.0,1.0
ROLLING_LEVEL_RESIDUAL,superset_base_level_superset_recent12_median,1.0,100.0,0.391875,0.0,12.0,1.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_expanded_recent8_median,1.0,100.0,0.03375,0.0,5.0,3.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_original_q75,1.0,100.0,0.0875,0.0,29.0,5.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_original_recent12_median,1.0,100.0,0.03,0.0,10.0,2.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_q75,1.0,100.0,0.095,0.0,15.0,19.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_recent12_median,1.0,100.0,0.131563,0.0,12.0,1.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_recent8_median,1.0,100.0,0.174375,0.0,8.0,3.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_median,1.0,100.0,0.00456,0.0,14.0,6.0
