level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,actual_published_level,superset_audited_candidate_price,superset_audited_abs_error,superset_audited_within_5,original_oracle_candidate_price,original_oracle_abs_error,original_oracle_mode,original_oracle_keys,superset_audited_source,selector_candidate_pool_count,rolling_oracle_candidate_price,rolling_oracle_abs_error,rolling_oracle_within_3,rolling_oracle_within_5,rolling_oracle_source_family,rolling_oracle_source_type,selector_candidate_price,selector_abs_error,selector_within_3,selector_within_5,selector_source_family,selector_source_type,selector_residual_col,selector_adjustment,selector_prior_sample_count,selector_candidate_generation_lookback_days,selector_calibrated_score,selector_learned_score,selector_static_score,selector_primary_feature,selector_primary_prior_sample_count,selector_primary_prior_within_5_pct,selector_primary_prior_mean_error,selector_max_performance_date,selector_performance_lookback_days,selector_date_safe,selector_recovered_within_5,selector_recovered_within_3,selector_better_than_superset,selector_status
2025-11-18,2025-11-17,L4,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4045.52,PREV_CLOSE_PROXY,,NEUTRAL,4104.67,4104.2725,0.3975,True,4104.2725,0.3975,MODE_C_BALANCED,green_box_midline::green_mid_2,ORIGINAL_ORACLE_PRESERVED,337,4104.439375,0.230625,True,True,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_q25,4112.1925,7.5225,False,False,ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_recent8_median,superset_residual,7.92,3.0,14.0,46.617016,38.296112,7.320904,level_family_type,5,37.013112,6.18975,2025-11-17,1.0,True,False,False,False,SELECTOR_WITHIN_10
2025-11-18,2025-11-17,L5,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4045.52,PREV_CLOSE_PROXY,,NEUTRAL,4069.43,4071.835,2.405,True,4071.835,2.405,MODE_C_BALANCED,green_box_edge::green_edge_1,ORIGINAL_ORACLE_PRESERVED,337,4068.857709,0.572291,True,True,ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_q25,4082.940139,13.510139,False,False,ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_expanded_mean,expanded_residual,11.105139,3.0,14.0,30.870185,23.004716,6.865469,level_family_type,5,29.320804,8.378861,2025-11-17,1.0,True,False,False,False,SELECTOR_GT10
2025-11-18,2025-11-17,L6,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4045.52,PREV_CLOSE_PROXY,,NEUTRAL,4036.18,4031.8975,4.2825,True,4031.8975,4.2825,MODE_C_BALANCED,prior_range_fraction::prev_range_0.25,ORIGINAL_ORACLE_PRESERVED,337,4036.08125,0.09875,True,True,ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_median,4028.694063,7.485937,False,False,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_mean,superset_residual,-3.203437,4.0,14.0,48.776066,39.949993,7.826072,level_family_type,6,41.512175,7.837688,2025-11-17,1.0,True,False,False,False,SELECTOR_WITHIN_10
2025-11-18,2025-11-17,L7,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4045.52,PREV_CLOSE_PROXY,,NEUTRAL,4005.49,3993.17875,12.31125,False,3993.17875,12.31125,MODE_D_NEAREST_VALID_LADDER,red_box_quarter::red_box_2_75pct,ORIGINAL_ORACLE_PRESERVED,337,4005.389375,0.100625,True,True,ROLLING_ROW_LEVEL_RESIDUAL,original_base_rows_expanded_recent8_median,4008.54875,3.05875,False,True,ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_recent8_median,original_residual,15.37,3.0,14.0,64.766446,56.809102,6.957344,level_rows_family,240,59.601494,7.304651,2025-11-17,1.0,True,True,False,True,SELECTOR_WITHIN_5
2025-11-19,2025-11-18,L4,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4067.3,PREV_CLOSE_PROXY,,NEUTRAL,4105.38,4112.4,7.02,False,4112.4,7.02,MODE_D_NEAREST_VALID_LADDER,green_box_edge::green_edge_2,ORIGINAL_ORACLE_PRESERVED,337,4103.84,1.54,True,True,ROLLING_LEVEL_RESIDUAL,original_base_level_superset_recent5_median,4119.914375,14.534375,False,False,ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_recent8_median,superset_residual,7.514375,8.0,6.0,51.941418,42.01852,8.922898,level_regime_family_type,5,37.013112,6.18975,2025-11-18,1.0,True,False,False,False,SELECTOR_GT10
2025-11-19,2025-11-18,L5,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4067.3,PREV_CLOSE_PROXY,,NEUTRAL,4070.7,4068.11,2.59,True,4068.11,2.59,MODE_C_BALANCED,red_box_quarter::red_box_1_25pct,ORIGINAL_ORACLE_PRESERVED,337,4070.675,0.025,True,True,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_expanded_q25,4068.733333,1.966667,True,True,ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_q25,superset_residual,0.623333,8.0,6.0,36.276564,26.347383,8.929181,level_family_type,6,34.369318,7.547048,2025-11-18,1.0,True,False,False,True,SELECTOR_WITHIN_3
2025-11-19,2025-11-18,L6,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4067.3,PREV_CLOSE_PROXY,,NEUTRAL,4040.63,4049.20012,8.57012,False,4030.29024,10.33976,MODE_C_BALANCED,prior_range_fraction::prev_range_0.382,EXPANDED_ORACLE_BETTER,338,4040.727725,0.097725,True,True,ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_expanded_q25,4053.756684,13.126684,False,False,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_mean,superset_residual,4.556564,10.0,6.0,53.761888,43.220288,9.5416,level_regime_family_type,6,41.512175,7.837688,2025-11-18,1.0,True,False,False,False,SELECTOR_GT10
2025-11-19,2025-11-18,L7,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4067.3,PREV_CLOSE_PROXY,,NEUTRAL,4008.31,4009.785,1.475,True,4009.785,1.475,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,prior_range_fraction::prev_range_0.125 | red_box_quarter::red_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,337,4008.206695,0.103305,True,True,ROLLING_LEVEL_RESIDUAL,superset_base_level_superset_mean,4012.1775,3.8675,False,True,ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_recent8_median,original_residual,2.3925,8.0,6.0,67.449856,57.27701,9.172846,level_range_close_family,240,59.601494,7.304651,2025-11-18,1.0,True,False,False,False,SELECTOR_WITHIN_5
2025-11-20,2025-11-19,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4077.81,PREV_CLOSE_PROXY,,NEUTRAL,4109.29,4103.33252,5.95748,False,4103.33252,5.95748,MODE_C_BALANCED,prior_range_fraction::prev_range_0.618,ORIGINAL_ORACLE_PRESERVED,241,4109.286533,0.003467,True,True,ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_superset_mean,4110.36502,1.07502,True,True,ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_median,original_residual,7.0325,33.0,1.0,14.882142,-0.208772,14.090914,level_rows_family,288,39.801252,10.202569,2025-11-19,1.0,True,True,True,True,SELECTOR_WITHIN_3
2025-11-20,2025-11-19,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_SPARSE_1_8,4077.81,PREV_CLOSE_PROXY,,NEUTRAL,4074.15,4069.0525,5.0975,False,4069.0525,5.0975,MODE_D_NEAREST_VALID_LADDER,green_box_quarter::green_box_1_25pct,ORIGINAL_ORACLE_PRESERVED,289,4073.735625,0.414375,True,True,ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_superset_recent12_median,4050.6525,23.4975,False,False,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_q25,original_residual,-18.4,4.0,6.0,33.217668,24.955988,7.26168,level_family_type,8,36.323153,9.403659,2025-11-19,1.0,True,False,False,False,SELECTOR_GT10
