level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,selected_mode,route_source,fallback_mode_used,router_prior_count,router_top1_within_3,router_top1_within_5,router_median_abs_error,router_rule_score,router_confidence_score,selected_mode_reason
2026-05-12,2026-05-11,L7,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4734.64,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,0.0,25.0,16.0,24.0,14.415,12.49875,58.917667,REGIME_LEVEL_EXACT: best prior mode for L7; prior_count=25
2026-05-13,2026-05-12,L4,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4715.15,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,0.0,11.0,9.090909,9.090909,24.3575,-8.054489,31.400652,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=11
2026-05-13,2026-05-12,L5,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4715.15,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,11.0,0.0,0.0,21.2475,-12.085625,30.084833,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=11
2026-05-13,2026-05-12,L6,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4715.15,PREV_CLOSE_PROXY,,NEUTRAL,MODE_C_BALANCED,REGIME_LEVEL_EXACT,0.0,11.0,0.0,0.0,27.60125,-16.850938,26.272583,REGIME_LEVEL_EXACT: best prior mode for L6; prior_count=11
2026-05-13,2026-05-12,L7,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4715.15,PREV_CLOSE_PROXY,,NEUTRAL,MODE_D_NEAREST_VALID_LADDER,REGIME_LEVEL_EXACT,0.0,11.0,9.090909,18.181818,47.13,-21.315682,20.91897,REGIME_LEVEL_EXACT: best prior mode for L7; prior_count=11
2026-05-14,2026-05-13,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4688.78,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,0.0,8.0,0.0,0.0,13.43381,-7.275357,31.273048,REGIME_LEVEL_BROAD: best prior mode for L4; prior_count=8
2026-05-14,2026-05-13,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4688.78,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,0.0,8.0,12.5,12.5,17.137074,-1.302806,33.426089,REGIME_LEVEL_BROAD: best prior mode for L5; prior_count=8
2026-05-14,2026-05-13,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4688.78,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,0.0,8.0,12.5,12.5,13.07625,1.742812,35.862583,REGIME_LEVEL_BROAD: best prior mode for L6; prior_count=8
2026-05-14,2026-05-13,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4688.78,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_BROAD,0.0,8.0,25.0,37.5,18.75375,11.484688,41.206083,REGIME_LEVEL_BROAD: best prior mode for L7; prior_count=8
2026-05-15,2026-05-14,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4652.36,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,10.0,0.0,0.0,17.230625,-9.422969,31.328292,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=10
2026-05-15,2026-05-14,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4652.36,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,0.0,10.0,0.0,10.0,18.062763,-5.847072,34.329009,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=10
2026-05-15,2026-05-14,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4652.36,PREV_CLOSE_PROXY,,NEUTRAL,MODE_C_BALANCED,REGIME_LEVEL_EXACT,0.0,10.0,20.0,20.0,19.991875,2.506094,36.671542,REGIME_LEVEL_EXACT: best prior mode for L6; prior_count=10
2026-05-15,2026-05-14,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4652.36,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,0.0,10.0,10.0,20.0,17.35,1.6875,38.256667,REGIME_LEVEL_EXACT: best prior mode for L7; prior_count=10
2026-05-18,2026-05-15,L4,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4538.64,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,8.0,12.5,12.5,22.757195,-5.517896,30.054016,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=8
2026-05-18,2026-05-15,L5,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4538.64,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,8.0,12.5,12.5,19.09125,-2.768437,32.253583,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=8
2026-05-18,2026-05-15,L6,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4538.64,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,8.0,0.0,0.0,10.78875,-5.291562,32.860083,REGIME_LEVEL_EXACT: best prior mode for L6; prior_count=8
2026-05-18,2026-05-15,L7,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4538.64,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,8.0,50.0,50.0,4.765,34.22625,53.974333,REGIME_LEVEL_EXACT: best prior mode for L7; prior_count=8
2026-05-19,2026-05-18,L4,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4566.12,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,26.0,7.692308,15.384615,8.973125,10.635541,60.334074,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=26
2026-05-19,2026-05-18,L5,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4566.12,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,26.0,15.384615,23.076923,11.928125,13.803906,61.253381,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=26
2026-05-19,2026-05-18,L6,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4566.12,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,26.0,19.230769,23.076923,11.566257,15.15223,61.470502,REGIME_LEVEL_EXACT: best prior mode for L6; prior_count=26
2026-05-19,2026-05-18,L7,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4566.12,PREV_CLOSE_PROXY,,NEUTRAL,MODE_C_BALANCED,REGIME_LEVEL_EXACT,0.0,26.0,15.384615,19.230769,12.50487,11.755963,59.561181,REGIME_LEVEL_EXACT: best prior mode for L7; prior_count=26
2026-05-20,2026-05-19,L4,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4481.92,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,9.0,11.111111,11.111111,27.48064,-9.682702,27.900505,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=9
2026-05-20,2026-05-19,L5,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4481.92,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,9.0,11.111111,11.111111,24.93,-7.769722,29.430889,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=9
2026-05-20,2026-05-19,L6,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4481.92,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,9.0,0.0,0.0,8.82,-3.465,35.208,REGIME_LEVEL_EXACT: best prior mode for L6; prior_count=9
2026-05-20,2026-05-19,L7,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4481.92,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,9.0,55.555556,55.555556,3.0,39.788889,58.144444,REGIME_LEVEL_EXACT: best prior mode for L7; prior_count=9
2026-05-21,2026-05-20,L4,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4543.62,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,27.0,7.407407,14.814815,9.21,10.138796,61.159185,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=27
2026-05-21,2026-05-20,L5,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4543.62,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,27.0,14.814815,22.222222,12.925,12.537731,61.522778,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=27
2026-05-21,2026-05-20,L6,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4543.62,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,27.0,18.518519,22.222222,11.146681,14.908508,62.589769,REGIME_LEVEL_EXACT: best prior mode for L6; prior_count=27
2026-05-21,2026-05-20,L7,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4543.62,PREV_CLOSE_PROXY,,NEUTRAL,MODE_C_BALANCED,REGIME_LEVEL_EXACT,0.0,27.0,14.814815,18.518519,12.80974,11.068621,60.295637,REGIME_LEVEL_EXACT: best prior mode for L7; prior_count=27
2026-05-22,2026-05-21,L4,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4543.05,PREV_CLOSE_PROXY,,NEUTRAL,MODE_E_SPACING_PRESERVATION,REGIME_LEVEL_EXACT,0.0,20.0,15.0,35.0,9.411562,18.841328,59.936396,REGIME_LEVEL_EXACT: best prior mode for L4; prior_count=20
2026-05-22,2026-05-21,L5,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4543.05,PREV_CLOSE_PROXY,,NEUTRAL,MODE_A_LIVE_PROXIMITY_HEAVY,REGIME_LEVEL_EXACT,0.0,20.0,10.0,25.0,18.6275,6.329375,50.906833,REGIME_LEVEL_EXACT: best prior mode for L5; prior_count=20
2026-05-22,2026-05-21,L6,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4543.05,PREV_CLOSE_PROXY,,NEUTRAL,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,REGIME_LEVEL_EXACT,0.0,20.0,5.0,15.0,18.51943,0.810428,47.471675,REGIME_LEVEL_EXACT: best prior mode for L6; prior_count=20
