level_date,prev_date,prev_high,prev_low,prev_close,prev_open,prev_range,box_padding,box_size,anchor_family,anchor_name,anchor_side,box_index,fraction,anchor_price
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_hlc,previous_high,neutral,,,3871.72
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_hlc,previous_low,neutral,,,3793.18
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_hlc,previous_close,neutral,,,3858.28
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_hlc,previous_mid,neutral,,,3832.45
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_hlc,previous_pivot_hlc3,neutral,,,3841.06
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_range_fraction,prev_range_0.125,neutral,,0.125,3802.9975
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_range_fraction,prev_range_0.25,neutral,,0.25,3812.815
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_range_fraction,prev_range_0.333333,neutral,,0.333333,3819.359974
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_range_fraction,prev_range_0.382,neutral,,0.382,3823.18228
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_range_fraction,prev_range_0.5,neutral,,0.5,3832.45
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_range_fraction,prev_range_0.618,neutral,,0.618,3841.71772
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_range_fraction,prev_range_0.666667,neutral,,0.666667,3845.540026
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_range_fraction,prev_range_0.75,neutral,,0.75,3852.085
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,prior_range_fraction,prev_range_0.875,neutral,,0.875,3861.9025
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,green_box_edge,green_edge_0,green,0.0,,3793.18
2025-10-01,2025-09-30,3871.72,3793.18,3858.28,3833.4,78.53999999999996,30.0,54.26999999999998,green_box_edge,green_edge_1,green,1.0,,3847.45
