cluster_rank,level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,candidate_method,cluster_raw_id,cluster_candidate_count,cluster_min,cluster_max,cluster_mid,cluster_mean,cluster_median,cluster_width,cluster_score,score_mean,score_sum,rank_weight_sum,best_candidate_rank_in_cluster,actual_published_level,cluster_mid_signed_error,cluster_mid_abs_error,cluster_mean_abs_error,cluster_median_abs_error,cluster_contains_actual,cluster_mid_within_3,cluster_mid_within_5,cluster_band_plus_3_contains_actual,cluster_band_plus_5_contains_actual,candidate_anchor_keys,candidate_prices,candidate_ranks,prev_high,prev_low,prev_close,prev_open,prev_mid,prev_range,box_size,prev_close_position_pct,prev_candle_body_pct,prev_candle_direction,range_bucket_state,close_position_bucket_state,cluster_prev_range_position_pct,cluster_offset_from_prev_close,cluster_abs_offset_from_prev_close,expected_position_pct,state_position_delta,state_position_score,state_side_score,state_anchor_family_score,state_width_penalty,state_cluster_count_bonus,state_gate_score,state_cluster_rank,live_reference_price,live_reference_source,live_ema5,live_channel_state,live_channel_norm,cluster_offset_from_live_price,cluster_abs_offset_from_live_price,expected_live_offset,live_offset_delta,live_offset_score,live_side_score,live_width_penalty,live_selector_score,live_cluster_rank,calibration_mode,calibrated_selector_score,calibrated_cluster_rank,selected_mode,route_source,fallback_mode_used,router_prior_count,router_top1_within_3,router_top1_within_5,router_median_abs_error,router_rule_score,router_confidence_score,selected_mode_reason,routed_cluster_rank,routed_selector_score
1,2025-10-02,2025-10-01,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,HISTORICAL_GLOBAL,1,1,3884.8525,3884.8525,3884.8525,3884.8525,3884.8525,0.0,84.75125,91.8125,91.8125,1.0,1,3867.44,-17.4125,17.4125,17.4125,17.4125,False,False,False,False,False,prior_range_fraction::prev_range_0.75,3884.852500,1,3895.37,3853.3,3865.54,3858.95,3874.335,42.06999999999971,36.034999999999854,0.29094366531970206,0.1566436890896171,UP,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,0.75,19.3125,19.3125,0.69,0.06000000000000005,20.799999999999997,14.0,0.0,0.0,1.2,88.545775,1,3865.54,PREV_CLOSE_PROXY,,,NEUTRAL,19.3125,19.3125,31.71079999999987,12.398299999999871,22.701275000000095,18.0,0.0,92.0578245000001,1,MODE_D_NEAREST_VALID_LADDER,98.09836990000012,1,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,True,0,,,,,0.0,DEFAULT_NO_HISTORY: no prior calibration history for L4,1,98.09836990000012
1,2025-10-02,2025-10-01,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,HISTORICAL_GLOBAL,1,1,3871.403333,3871.403333,3871.403333,3871.403333,3871.403333,0.0,77.0155,78.475,78.475,1.0,1,3849.38,-22.023333,22.023333,22.023333,22.023333,False,False,False,False,False,prior_hlc::previous_pivot_hlc3,3871.403333,1,3895.37,3853.3,3865.54,3858.95,3874.335,42.06999999999971,36.034999999999854,0.29094366531970206,0.1566436890896171,UP,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,0.43031454718326945,5.863333000000239,5.863333000000239,0.53,0.09968545281673058,18.02201830282886,10.0,0.0,0.0,1.2,76.97162830282888,1,3865.54,PREV_CLOSE_PROXY,,,NEUTRAL,5.863333000000239,5.863333000000239,12.612249999999948,6.748916999999709,26.938312250000216,15.0,0.0,86.58185666564097,1,MODE_D_NEAREST_VALID_LADDER,104.67430394513748,1,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,True,0,,,,,0.0,DEFAULT_NO_HISTORY: no prior calibration history for L5,1,104.67430394513748
1,2025-10-02,2025-10-01,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,HISTORICAL_GLOBAL,1,1,3871.3175,3871.3175,3871.3175,3871.3175,3871.3175,0.0,86.27375,94.4375,94.4375,1.0,1,3832.79,-38.5275,38.5275,38.5275,38.5275,False,False,False,False,False,green_box_midline::green_mid_1,3871.317500,1,3895.37,3853.3,3865.54,3858.95,3874.335,42.06999999999971,36.034999999999854,0.29094366531970206,0.1566436890896171,UP,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,0.4282743047302128,5.7775000000001455,5.7775000000001455,0.37000000000000005,0.05827430473021272,20.92079866888511,-3.0,2.0,0.0,1.2,74.61052366888512,1,3865.54,PREV_CLOSE_PROXY,,,NEUTRAL,5.7775000000001455,5.7775000000001455,-12.612249999999948,18.38975000000009,18.20768749999993,-7.0,0.0,54.481791227953295,1,MODE_D_NEAREST_VALID_LADDER,82.41700000598985,1,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,True,0,,,,,0.0,DEFAULT_NO_HISTORY: no prior calibration history for L6,1,82.41700000598985
1,2025-10-02,2025-10-01,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,HISTORICAL_GLOBAL,1,1,3850.32625,3850.32625,3850.32625,3850.32625,3850.32625,0.0,86.168625,94.25625,94.25625,1.0,1,3817.0,-33.32625,33.32625,33.32625,33.32625,False,False,False,False,False,red_box_quarter::red_box_2_25pct,3850.326250,1,3895.37,3853.3,3865.54,3858.95,3874.335,42.06999999999971,36.034999999999854,0.29094366531970206,0.1566436890896171,UP,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,-0.07068576182553196,-15.21374999999989,15.21374999999989,0.21,0.28068576182553195,5.351996672212763,14.0,6.0,0.0,1.2,79.97654417221277,1,3865.54,PREV_CLOSE_PROXY,,,NEUTRAL,-15.21374999999989,15.21374999999989,-31.71079999999987,16.49704999999998,19.627212500000013,18.0,0.0,84.01360811988341,1,MODE_D_NEAREST_VALID_LADDER,93.21429882497503,1,MODE_D_NEAREST_VALID_LADDER,DEFAULT_NO_HISTORY,True,0,,,,,0.0,DEFAULT_NO_HISTORY: no prior calibration history for L7,1,93.21429882497503
1,2025-10-03,2025-10-02,L4,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY,1,1,3877.3225,3877.3225,3877.3225,3877.3225,3877.3225,0.0,83.01125,88.8125,88.8125,1.0,1,3854.23,-23.0925,23.0925,23.0925,23.0925,False,False,False,False,False,prior_range_fraction::prev_range_0.75,3877.322500,1,3896.63,3819.4,3856.24,3866.38,3858.0150000000003,77.23000000000002,53.61500000000001,0.47701670335361496,-0.13129612844749872,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,0.7500000000000014,21.082500000000437,21.082500000000437,0.7,0.05000000000000149,21.499999999999897,14.0,0.0,0.0,1.2,88.16697499999991,1,3856.24,PREV_CLOSE_PROXY,,,NEUTRAL,21.082500000000437,21.082500000000437,47.18120000000001,26.098699999999575,12.42597500000032,18.0,0.0,81.56282050000027,1,MODE_A_LIVE_PROXIMITY_HEAVY,78.58080550000015,1,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,True,1,0.0,0.0,17.4125,-12.709375,12.4315,LEVEL_ONLY: fallback below minimum sample threshold for L4,1,78.58080550000015
1,2025-10-03,2025-10-02,L5,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY,1,1,3857.423333,3857.423333,3857.423333,3857.423333,3857.423333,0.0,75.2755,75.475,75.475,1.0,1,3833.88,-23.543333,23.543333,23.543333,23.543333,False,False,False,False,False,prior_hlc::previous_pivot_hlc3,3857.423333,1,3896.63,3819.4,3856.24,3866.38,3858.0150000000003,77.23000000000002,53.61500000000001,0.47701670335361496,-0.13129612844749872,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,0.49233889680176207,1.1833330000004025,1.1833330000004025,0.54,0.047661103198237964,21.663722776123343,10.0,0.0,0.0,1.2,79.53453277612334,1,3856.24,PREV_CLOSE_PROXY,,,NEUTRAL,1.1833330000004025,1.1833330000004025,18.76525,17.5819169999996,18.813562250000302,8.0,0.0,72.94359126015183,1,MODE_A_LIVE_PROXIMITY_HEAVY,85.95339347470235,1,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,True,1,0.0,0.0,22.023333,-16.1675,10.7716,LEVEL_ONLY: fallback below minimum sample threshold for L5,1,85.95339347470235
1,2025-10-03,2025-10-02,L6,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY,1,1,3846.2075,3846.2075,3846.2075,3846.2075,3846.2075,0.0,84.53375,91.4375,91.4375,1.0,1,3813.75,-32.4575,32.4575,32.4575,32.4575,False,False,False,False,False,green_box_midline::green_mid_1,3846.207500,1,3896.63,3819.4,3856.24,3866.38,3858.0150000000003,77.23000000000002,53.61500000000001,0.47701670335361496,-0.13129612844749872,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,0.34711252104104473,-10.0324999999998,10.0324999999998,0.38,0.032887478958955274,22.69787647287313,10.0,0.0,0.0,1.2,86.30880147287313,1,3856.24,PREV_CLOSE_PROXY,,,NEUTRAL,-10.0324999999998,10.0324999999998,-18.76525,8.732750000000202,25.45043749999985,15.0,0.0,90.50954235426626,1,MODE_A_LIVE_PROXIMITY_HEAVY,95.89924364011708,1,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,True,1,0.0,0.0,38.5275,-28.545625,5.0,LEVEL_ONLY: fallback below minimum sample threshold for L6,1,95.89924364011708
1,2025-10-03,2025-10-02,L7,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,REGIME_RANGE_ONLY,1,1,3829.61125,3829.61125,3829.61125,3829.61125,3829.61125,0.0,84.428625,91.25625,91.25625,1.0,1,3794.9,-34.71125,34.71125,34.71125,34.71125,False,False,False,False,False,red_box_quarter::red_box_2_25pct,3829.611250,1,3896.63,3819.4,3856.24,3866.38,3858.0150000000003,77.23000000000002,53.61500000000001,0.47701670335361496,-0.13129612844749872,DOWN,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,0.1322186973973823,-26.628749999999854,26.628749999999854,0.22,0.08778130260261771,18.85530881781676,14.0,4.0,0.0,1.2,90.40105631781675,1,3856.24,PREV_CLOSE_PROXY,,,NEUTRAL,-26.628749999999854,26.628749999999854,-47.18120000000001,20.552450000000157,16.585662499999884,18.0,0.0,87.0182751643336,1,MODE_A_LIVE_PROXIMITY_HEAVY,81.51326263720695,1,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,True,1,0.0,0.0,33.32625,-24.644688,6.70255,LEVEL_ONLY: fallback below minimum sample threshold for L7,1,81.51326263720695
1,2025-10-06,2025-10-03,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,REGIME_RANGE_ONLY,1,1,3855.929982,3855.929982,3855.929982,3855.929982,3855.929982,0.0,84.980813,92.208298,92.208298,1.0,1,3872.61,16.680018,16.680018,16.680018,16.680018,False,False,False,False,False,prior_range_fraction::prev_range_0.333333,3855.929982,1,3891.67,3838.06,3886.43,3855.58,3864.865,53.61000000000013,41.805000000000064,0.9022570415967128,0.5754523409811572,UP,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,0.33333299757508156,-30.500017999999727,30.500017999999727,0.79,0.4566670024249185,-6.966690169744293,-8.0,2.0,0.0,1.2,40.92141389025571,1,3886.43,PREV_CLOSE_PROXY,,,NEUTRAL,-30.500017999999727,30.500017999999727,36.78840000000006,67.28841799999978,-18.466313499999835,-15.0,0.0,-9.731893443651526,1,MODE_A_LIVE_PROXIMITY_HEAVY,18.308536310246318,1,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,True,2,0.0,0.0,20.2525,-14.489375,12.1091,LEVEL_ONLY: fallback below minimum sample threshold for L4,1,18.308536310246318
1,2025-10-06,2025-10-03,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,REGIME_RANGE_ONLY,1,1,3839.41375,3839.41375,3839.41375,3839.41375,3839.41375,0.0,83.777938,90.134375,90.134375,1.0,1,3851.28,11.86625,11.86625,11.86625,11.86625,False,False,False,False,False,red_box_quarter::red_box_2_25pct,3839.413750,1,3891.67,3838.06,3886.43,3855.58,3864.865,53.61000000000013,41.805000000000064,0.9022570415967128,0.5754523409811572,UP,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,0.02525181869054682,-47.01624999999967,47.01624999999967,0.6300000000000001,0.6047481813094533,-17.332372691661732,-3.0,2.0,0.0,1.2,34.809948868338275,1,3886.43,PREV_CLOSE_PROXY,,,NEUTRAL,-47.01624999999967,47.01624999999967,14.631750000000022,61.6479999999997,-14.235999999999777,-7.0,0.0,-1.046229656363579,1,MODE_A_LIVE_PROXIMITY_HEAVY,18.31373403130127,1,MODE_A_LIVE_PROXIMITY_HEAVY,LEVEL_ONLY,True,2,0.0,0.0,22.783333,-16.3875,11.198,LEVEL_ONLY: fallback below minimum sample threshold for L5,1,18.31373403130127
