level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,actual_published_level,superset_audited_candidate_price,superset_audited_abs_error,superset_audited_within_5,ladder_selector_candidate_price,ladder_selector_abs_error,ladder_selector_within_3,ladder_selector_within_5,ladder_selector_source_family,ladder_selector_source_type,ladder_selector_score,ladder_selector_valid_day
2025-10-02,2025-10-01,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,3867.44,3884.8525,17.4125,False,3884.8525,17.4125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,23.531719,True
2025-10-02,2025-10-01,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,3849.38,3871.403333,22.023333,False,3871.403333,22.023333,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,23.531719,True
2025-10-02,2025-10-01,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,3832.79,3871.3175,38.5275,False,3871.3175,38.5275,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,23.531719,True
2025-10-02,2025-10-01,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,3817.0,3850.32625,33.32625,False,3850.32625,33.32625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,23.531719,True
2025-10-03,2025-10-02,L4,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,3854.23,3859.91,5.68,False,3859.91,5.68,False,False,ROLLING_BASE_SUPERSET,EXPANDED_ORACLE_BETTER,-13.397298,True
2025-10-03,2025-10-02,L5,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,3833.88,3857.423333,23.543333,False,3857.423333,23.543333,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.327648,True
2025-10-03,2025-10-02,L6,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,3813.75,3846.2075,32.4575,False,3846.2075,32.4575,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.327648,True
2025-10-03,2025-10-02,L7,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,3794.9,3829.61125,34.71125,False,3829.61125,34.71125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.327648,True
2025-10-06,2025-10-03,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,3872.61,3855.929982,16.680018,False,3855.929982,16.680018,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-16.510715,True
2025-10-06,2025-10-03,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,3851.28,3839.41375,11.86625,False,3839.41375,11.86625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-16.510715,True
2025-10-06,2025-10-03,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,3830.61,3818.51125,12.09875,False,3818.51125,12.09875,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-16.510715,True
2025-10-06,2025-10-03,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,3810.83,3797.60875,13.22125,False,3797.60875,13.22125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-16.510715,True
2025-10-07,2025-10-06,L4,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,3964.13,3948.6225,15.5075,False,3948.6225,15.5075,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.718633,True
2025-10-07,2025-10-06,L5,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,3946.24,3938.47,7.77,False,3938.47,7.77,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.718633,True
2025-10-07,2025-10-06,L6,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,3927.93,3913.2875,14.6425,False,3913.2875,14.6425,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.718633,True
2025-10-07,2025-10-06,L7,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,3710.52,3897.74625,187.22625,False,3897.74625,187.22625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,-13.718633,True
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3970.41,3972.06,1.65,True,3971.1075,0.6975,True,True,ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_recent8_median,-13.94659,True
