level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,actual_published_level,superset_audited_candidate_price,superset_audited_abs_error,superset_audited_within_5,original_oracle_candidate_price,original_oracle_abs_error,original_oracle_mode,original_oracle_keys,superset_audited_source,selector_candidate_pool_count,rolling_oracle_candidate_price,rolling_oracle_abs_error,rolling_oracle_within_3,rolling_oracle_within_5,rolling_oracle_source_family,rolling_oracle_source_type,selector_candidate_price,selector_abs_error,selector_within_3,selector_within_5,selector_source_family,selector_source_type,selector_residual_col,selector_adjustment,selector_prior_sample_count,selector_candidate_generation_lookback_days,selector_calibrated_score,selector_learned_score,selector_static_score,selector_primary_feature,selector_primary_prior_sample_count,selector_primary_prior_within_5_pct,selector_primary_prior_mean_error,selector_max_performance_date,selector_performance_lookback_days,selector_date_safe,selector_recovered_within_5,selector_recovered_within_3,selector_better_than_superset,selector_status
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,4072.66125,1.03125,True,4072.66125,1.03125,MODE_C_BALANCED,green_box_quarter::green_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,289,4071.884375,0.254375,True,True,ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_q25,4077.862164,6.232164,False,False,ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_mean,superset_residual,5.200914,116.0,1.0,39.568313,21.408017,17.160295,level_range_close_family_type,18,41.583479,13.171612,2026-06-29,1.0,True,False,False,False,SELECTOR_WITHIN_10
2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4039.56,4031.785,7.775,False,4028.035,11.525,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,red_box_edge::red_edge_1,EXPANDED_ORACLE_BETTER,290,4039.555,0.005,True,True,ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_expanded_median,4032.205,7.355,False,False,ROLLING_LEVEL_RESIDUAL,superset_base_level_original_median,original_residual,0.42,185.0,1.0,44.21926,24.940656,18.278604,level_source_family,528,34.479796,8.707302,2026-06-29,1.0,True,False,False,True,SELECTOR_WITHIN_10
2026-06-30,2026-06-29,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4005.44,4012.28125,6.84125,False,4012.28125,6.84125,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,prior_range_fraction::prev_range_0.125 | green_box_quarter::green_box_1_25pct,ORIGINAL_ORACLE_PRESERVED,289,4005.179879,0.260121,True,True,ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_expanded_mean,4010.545402,5.105402,False,False,ROLLING_LEVEL_RESIDUAL,superset_base_level_original_mean,original_residual,-1.735848,185.0,1.0,41.848439,22.799048,18.049391,level_regime_family_type,12,34.058523,13.887202,2026-06-29,1.0,True,False,False,True,SELECTOR_WITHIN_10
2026-06-30,2026-06-29,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,3967.25,3954.90375,12.34625,False,3954.90375,12.34625,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,red_box_quarter::red_box_3_25pct,ORIGINAL_ORACLE_PRESERVED,289,3965.89375,1.35625,True,True,ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q75,3949.769486,17.480514,False,False,ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_mean,superset_residual,-5.134264,115.0,1.0,46.724519,28.560971,17.163548,level_regime_family_type,11,46.377392,10.149963,2026-06-29,1.0,True,False,False,False,SELECTOR_GT10
