level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,base_superset_price,base_original_price,base_superset_source,dynamic_candidate_price,dynamic_source_family,dynamic_source_type,dynamic_adjustment,dynamic_prior_sample_count,actual_published_level,dynamic_candidate_abs_error,dynamic_candidate_within_3,dynamic_candidate_within_5,dynamic_candidate_status,dynamic_candidate_score
2025-10-07,2025-10-06,L5,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,3938.47,3938.47,ORIGINAL_ORACLE_PRESERVED,3938.47,SUPERSET_AUDITED_BASE,ORIGINAL_ORACLE_PRESERVED,0.0,,3946.24,7.77,False,False,DYNAMIC_WITHIN_10,40.0
2025-10-07,2025-10-06,L6,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,3913.2875,3913.2875,ORIGINAL_ORACLE_PRESERVED,3913.2875,SUPERSET_AUDITED_BASE,ORIGINAL_ORACLE_PRESERVED,0.0,,3927.93,14.6425,False,False,DYNAMIC_GT10,40.0
2025-10-07,2025-10-06,L7,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,3897.74625,3897.74625,ORIGINAL_ORACLE_PRESERVED,3897.74625,SUPERSET_AUDITED_BASE,ORIGINAL_ORACLE_PRESERVED,0.0,,3710.52,187.22625,False,False,DYNAMIC_GT10,40.0
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3972.06,SUPERSET_AUDITED_BASE,ORIGINAL_ORACLE_PRESERVED,0.0,,3970.41,1.65,True,True,DYNAMIC_WITHIN_3,40.0
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3976.97375,CHANNEL_LEVEL_RESIDUAL,superset_base_channel_superset_median,4.91375,4.0,3970.41,6.56375,False,False,DYNAMIC_WITHIN_10,11.241202
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3976.97375,CHANNEL_LEVEL_RESIDUAL,original_base_channel_superset_median,4.91375,4.0,3970.41,6.56375,False,False,DYNAMIC_WITHIN_10,11.241202
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3963.446875,CHANNEL_LEVEL_RESIDUAL,superset_base_channel_superset_q25,-8.613125,4.0,3970.41,6.963125,False,False,DYNAMIC_WITHIN_10,11.093227
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3963.446875,CHANNEL_LEVEL_RESIDUAL,original_base_channel_superset_q25,-8.613125,4.0,3970.41,6.963125,False,False,DYNAMIC_WITHIN_10,11.093227
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3987.860629,CHANNEL_LEVEL_RESIDUAL,superset_base_channel_superset_q75,15.80063,4.0,3970.41,17.45063,False,False,DYNAMIC_GT10,10.805726
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,3972.06,3972.06,ORIGINAL_ORACLE_PRESERVED,3987.860629,CHANNEL_LEVEL_RESIDUAL,original_base_channel_superset_q75,15.80063,4.0,3970.41,17.45063,False,False,DYNAMIC_GT10,10.805726
