level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,actual_published_level,superset_audited_candidate_price,superset_audited_abs_error,superset_audited_within_5,original_oracle_candidate_price,original_oracle_abs_error,original_oracle_mode,original_oracle_keys,superset_audited_source,rolling_candidate_pool_count,rolling_oracle_candidate_price,rolling_oracle_abs_error,rolling_oracle_within_3,rolling_oracle_within_5,rolling_oracle_source_family,rolling_oracle_source_type,rolling_oracle_residual_col,rolling_oracle_adjustment,rolling_oracle_prior_sample_count,rolling_oracle_max_source_date,rolling_oracle_lookback_days,rolling_selected_candidate_price,rolling_selected_abs_error,rolling_selected_within_3,rolling_selected_within_5,rolling_selected_source_family,rolling_selected_source_type,rolling_selected_score,rolling_selected_prior_sample_count,rolling_audited_candidate_price,rolling_audited_abs_error,rolling_audited_within_3,rolling_audited_within_5,rolling_audited_source,rolling_recovered_within_5,rolling_recovered_within_3,rolling_better_than_superset,rolling_oracle_date_safe,rolling_selected_date_safe,rolling_status
2025-10-02,2025-10-01,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,3867.44,3884.8525,17.4125,False,3884.8525,17.4125,MODE_C_BALANCED,prior_range_fraction::prev_range_0.75,ORIGINAL_ORACLE_PRESERVED,1,3884.8525,17.4125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,,0.0,,,,3884.8525,17.4125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,30.0,,3884.8525,17.4125,False,False,SUPERSET_AUDITED_BASE_PRESERVED,False,False,False,True,True,ROLLING_GT10
2025-10-02,2025-10-01,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,3849.38,3871.403333,22.023333,False,3871.403333,22.023333,MODE_C_BALANCED,prior_hlc::previous_pivot_hlc3,ORIGINAL_ORACLE_PRESERVED,1,3871.403333,22.023333,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,,0.0,,,,3871.403333,22.023333,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,30.0,,3871.403333,22.023333,False,False,SUPERSET_AUDITED_BASE_PRESERVED,False,False,False,True,True,ROLLING_GT10
2025-10-02,2025-10-01,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,3832.79,3871.3175,38.5275,False,3871.3175,38.5275,MODE_C_BALANCED,green_box_midline::green_mid_1,ORIGINAL_ORACLE_PRESERVED,1,3871.3175,38.5275,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,,0.0,,,,3871.3175,38.5275,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,30.0,,3871.3175,38.5275,False,False,SUPERSET_AUDITED_BASE_PRESERVED,False,False,False,True,True,ROLLING_GT10
2025-10-02,2025-10-01,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,3817.0,3850.32625,33.32625,False,3850.32625,33.32625,MODE_C_BALANCED,red_box_quarter::red_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,1,3850.32625,33.32625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,,0.0,,,,3850.32625,33.32625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,30.0,,3850.32625,33.32625,False,False,SUPERSET_AUDITED_BASE_PRESERVED,False,False,False,True,True,ROLLING_GT10
2025-10-03,2025-10-02,L4,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,3854.23,3859.91,5.68,False,3877.3225,23.0925,MODE_C_BALANCED,prior_range_fraction::prev_range_0.75,EXPANDED_ORACLE_BETTER,2,3859.91,5.68,False,False,ROLLING_BASE_SUPERSET,EXPANDED_ORACLE_BETTER,,0.0,,,,3859.91,5.68,False,False,ROLLING_BASE_SUPERSET,EXPANDED_ORACLE_BETTER,30.0,,3859.91,5.68,False,False,SUPERSET_AUDITED_BASE_PRESERVED,False,False,False,True,True,ROLLING_WITHIN_10
2025-10-03,2025-10-02,L5,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,3833.88,3857.423333,23.543333,False,3857.423333,23.543333,MODE_C_BALANCED,prior_hlc::previous_pivot_hlc3,ORIGINAL_ORACLE_PRESERVED,1,3857.423333,23.543333,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,,0.0,,,,3857.423333,23.543333,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,30.0,,3857.423333,23.543333,False,False,SUPERSET_AUDITED_BASE_PRESERVED,False,False,False,True,True,ROLLING_GT10
2025-10-03,2025-10-02,L6,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,3813.75,3846.2075,32.4575,False,3846.2075,32.4575,MODE_C_BALANCED,green_box_midline::green_mid_1,ORIGINAL_ORACLE_PRESERVED,1,3846.2075,32.4575,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,,0.0,,,,3846.2075,32.4575,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,30.0,,3846.2075,32.4575,False,False,SUPERSET_AUDITED_BASE_PRESERVED,False,False,False,True,True,ROLLING_GT10
2025-10-03,2025-10-02,L7,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,3794.9,3829.61125,34.71125,False,3829.61125,34.71125,MODE_C_BALANCED,red_box_quarter::red_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,1,3829.61125,34.71125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,,0.0,,,,3829.61125,34.71125,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,30.0,,3829.61125,34.71125,False,False,SUPERSET_AUDITED_BASE_PRESERVED,False,False,False,True,True,ROLLING_GT10
2025-10-06,2025-10-03,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,3872.61,3855.929982,16.680018,False,3855.929982,16.680018,MODE_E_SPACING_PRESERVATION,prior_range_fraction::prev_range_0.333333,ORIGINAL_ORACLE_PRESERVED,1,3855.929982,16.680018,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,,0.0,,,,3855.929982,16.680018,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,30.0,,3855.929982,16.680018,False,False,SUPERSET_AUDITED_BASE_PRESERVED,False,False,False,True,True,ROLLING_GT10
2025-10-06,2025-10-03,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,3851.28,3839.41375,11.86625,False,3839.41375,11.86625,MODE_B_EMA_CHANNEL_DIRECTION_HEAVY,red_box_quarter::red_box_2_25pct,ORIGINAL_ORACLE_PRESERVED,1,3839.41375,11.86625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,,0.0,,,,3839.41375,11.86625,False,False,ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,30.0,,3839.41375,11.86625,False,False,SUPERSET_AUDITED_BASE_PRESERVED,False,False,False,True,True,ROLLING_GT10
