level_date,prev_date,published_level,source_column,level_name,published_rank_low_to_high,published_rank_high_to_low,best_anchor_price,signed_distance_points,abs_distance_points,within_tolerance,within_1,within_2,within_3,within_5,within_10,best_anchor_family,best_anchor_name,best_anchor_side,best_box_index,best_fraction,prev_high,prev_low,prev_close,prev_range,box_size,box_padding,level_number,anchor_key,outlier_threshold
2026-04-23,2026-04-22,4914.72,level_price,L3,9,3,4889.06,25.66,25.66,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,4772.34,4715.62,4740.18,56.720000000000255,43.36000000000013,30.0,3,green_box_edge::green_edge_4,17.29875
2026-02-02,2026-01-30,4532.05,level_price,L12,5,12,4557.47875,-25.42875,25.42875,False,False,False,False,False,False,red_box_quarter,red_box_3_25pct,red,3.0,0.25,5450.92,4686.75,4885.18,764.1700000000001,397.08500000000004,30.0,12,red_box_quarter::red_box_3_25pct,17.29875
2026-02-02,2026-01-30,4482.84,level_price,L13,4,13,4458.2075,24.6325,24.6325,False,False,False,False,False,False,red_box_midline,red_mid_3,red,3.0,0.5,5450.92,4686.75,4885.18,764.1700000000001,397.08500000000004,30.0,13,red_box_midline::red_mid_3,17.29875
2026-02-02,2026-01-30,4433.74,level_price,L14,3,14,4458.2075,-24.4675,24.4675,False,False,False,False,False,False,red_box_midline,red_mid_3,red,3.0,0.5,5450.92,4686.75,4885.18,764.1700000000001,397.08500000000004,30.0,14,red_box_midline::red_mid_3,17.29875
2026-06-17,2026-06-16,4488.36,level_price,L1,10,1,4464.29,24.07,24.07,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,4354.95,4305.61,4331.14,49.340000000000146,39.67000000000007,30.0,1,green_box_edge::green_edge_4,17.29875
2026-02-02,2026-01-30,4581.26,level_price,L11,6,11,4557.47875,23.78125,23.78125,False,False,False,False,False,False,red_box_quarter,red_box_3_25pct,red,3.0,0.25,5450.92,4686.75,4885.18,764.1700000000001,397.08500000000004,30.0,11,red_box_quarter::red_box_3_25pct,17.29875
2026-06-26,2026-06-25,4208.88,level_price,L1,10,1,4185.43,23.45,23.45,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,4044.26,3963.09,4026.59,81.17000000000007,55.585000000000036,30.0,1,green_box_edge::green_edge_4,17.29875
2026-02-02,2026-01-30,4831.95,level_price,L6,11,6,4855.2925,-23.3425,23.3425,False,False,False,False,False,False,red_box_midline,red_mid_2,red,2.0,0.5,5450.92,4686.75,4885.18,764.1700000000001,397.08500000000004,30.0,6,red_box_midline::red_mid_2,17.29875
2026-02-02,2026-01-30,4634.47,level_price,L10,7,10,4656.75,-22.28,22.28,False,False,False,False,False,False,red_box_edge,red_edge_2,red,2.0,,5450.92,4686.75,4885.18,764.1700000000001,397.08500000000004,30.0,10,red_box_edge::red_edge_2,17.29875
2026-03-04,2026-03-03,4944.32,level_price,L9,1,9,4966.27,-21.95,21.95,False,False,False,False,False,False,red_box_edge,red_edge_2,red,2.0,,5379.86,4996.27,5088.24,383.58999999999924,206.79499999999962,30.0,9,red_box_edge::red_edge_2,17.29875
2026-04-27,2026-04-24,4904.5,level_price,L1,11,1,4883.08,21.42,21.42,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,4740.4,4657.72,4707.26,82.67999999999938,56.33999999999969,30.0,1,green_box_edge::green_edge_4,17.29875
2026-02-09,2026-02-06,5109.05,level_price,L1,9,1,5087.9375,21.1125,21.1125,False,False,False,False,False,False,green_box_midline,green_mid_3,green,3.0,0.5,4971.43,4655.4,4965.74,316.03000000000065,173.01500000000033,30.0,1,green_box_midline::green_mid_3,17.29875
2025-11-26,2025-11-25,3979.03,level_price,L10,1,10,4000.04,-21.01,21.01,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4159.32,4109.68,4130.64,49.63999999999942,39.81999999999971,30.0,10,red_box_edge::red_edge_4,17.29875
2026-02-04,2026-02-03,5044.24,level_price,L3,7,3,5023.98,20.26,20.26,False,False,False,False,False,False,green_box_edge,green_edge_2,green,2.0,,4993.98,4666.08,4946.72,327.89999999999964,178.94999999999982,30.0,3,green_box_edge::green_edge_2,17.29875
2026-05-25,2026-05-22,4353.62,level_price,L10,2,10,4372.23,-18.61,18.61,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4546.75,4489.49,4507.9,57.26000000000022,43.63000000000011,30.0,10,red_box_edge::red_edge_4,17.29875
2026-04-21,2026-04-20,4996.65,level_price,L1,10,1,4978.14,18.51,18.51,False,False,False,False,False,False,green_box_edge,green_edge_4,green,4.0,,4827.6,4737.06,4820.66,90.53999999999996,60.26999999999998,30.0,1,green_box_edge::green_edge_4,17.29875
2025-11-27,2025-11-26,4008.04,level_price,L9,1,9,4026.2,-18.16,18.16,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4173.46,4129.83,4163.7,43.63000000000011,36.815000000000055,30.0,9,red_box_edge::red_edge_4,17.29875
2026-03-24,2026-03-23,4584.55,level_price,L1,10,1,4566.45,18.1,18.1,False,False,False,False,False,False,green_box_edge,green_edge_2,green,2.0,,4536.45,4098.96,4406.68,437.4899999999998,233.7449999999999,30.0,1,green_box_edge::green_edge_2,17.29875
2025-10-22,2025-10-21,3953.61,level_price,L12,1,12,3971.6475,-18.0375,18.0375,False,False,False,False,False,False,red_box_midline,red_mid_3,red,3.0,0.5,4375.41,4082.4,4124.9,293.00999999999976,161.50499999999988,30.0,12,red_box_midline::red_mid_3,17.29875
2026-02-06,2026-02-05,4638.87,level_price,L9,3,9,4656.335,-17.465,17.465,False,False,False,False,False,False,red_box_midline,red_mid_3,red,3.0,0.5,5023.76,4759.82,4779.46,263.9400000000005,146.97000000000025,30.0,9,red_box_midline::red_mid_3,17.29875
