selector_source_family,selector_source_type,selector_pick_count,selector_pct_within_5,selector_median_abs_error,selector_recovered_within_5_pct,avg_selector_score,avg_primary_prior_w5,avg_performance_lookback_days
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_expanded_mean,4.0,25.0,6.18142,25.0,21.639271,34.33361,1.5
ROLLING_REGIME_LEVEL_RESIDUAL,original_base_regime_superset_q25,4.0,25.0,12.103068,0.0,39.647814,37.69171,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_q25,4.0,25.0,7.1625,0.0,44.116692,36.07385,1.5
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_mean,4.0,25.0,5.824464,25.0,36.985028,40.131846,1.0
ROLLING_LEVEL_RESIDUAL,superset_base_level_original_median,35.0,22.857143,13.787396,0.0,33.753001,34.17662,1.371429
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_mean,9.0,22.222222,9.363399,0.0,43.588342,40.882776,1.222222
ROLLING_LEVEL_RESIDUAL,superset_base_level_original_mean,25.0,20.0,9.146806,8.0,36.211037,35.436491,1.56
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_expanded_mean,5.0,20.0,10.18983,20.0,31.600385,46.431506,1.4
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_original_median,26.0,19.230769,20.536563,0.0,33.486561,37.363547,1.307692
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_median,27.0,18.518519,14.22375,0.0,40.655522,42.052787,1.296296
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_original_mean,17.0,17.647059,22.075005,11.764706,24.868945,37.519214,1.529412
ROLLING_BASE_SUPERSET,ORIGINAL_ORACLE_PRESERVED,37.0,8.108108,34.71125,0.0,-5.150525,22.84427,1.363636
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_median,13.0,7.692308,17.606667,0.0,40.156435,35.811107,1.461538
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_superset_median,12.0,0.0,31.10048,0.0,18.572564,35.852504,1.666667
ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_mean,5.0,0.0,17.155435,0.0,32.880426,39.62794,1.8
ROLLING_LEVEL_RESIDUAL,original_base_level_expanded_recent12_median,4.0,0.0,40.423125,0.0,16.5015,39.167011,1.5
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_superset_recent5_median,4.0,0.0,43.563524,0.0,29.162065,37.843721,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_original_recent12_median,4.0,0.0,30.264688,0.0,36.729858,47.64356,1.0
ROLLING_LEVEL_RESIDUAL,superset_base_level_expanded_recent12_median,3.0,0.0,11.504687,0.0,24.23586,47.965043,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_expanded_mean,3.0,0.0,13.510139,0.0,40.055785,31.91229,1.0
ROLLING_ROW_LEVEL_RESIDUAL,original_base_rows_expanded_recent8_median,3.0,0.0,18.4975,0.0,18.915604,32.895357,1.666667
