level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,expanded_cluster_raw_id,expanded_cluster_candidate_count,expanded_cluster_min,expanded_cluster_max,expanded_cluster_mid,expanded_cluster_width,expanded_cluster_score,actual_published_level,expanded_cluster_abs_error,expanded_cluster_within_3,expanded_cluster_within_5,expanded_cluster_within_10,expanded_source_families,expanded_source_types,expanded_candidate_prices,expanded_candidate_count,expanded_cluster_rank
2025-10-02,2025-10-01,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,1,15,3871.8525,3897.8525,3884.8525,26.0,78.175266,3867.44,17.4125,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3871.852500 | 3873.852500 | 3876.852500 | 3879.852500 | 3881.852500 | 3884.500000 | 3884.750000 | 3884.852500 | 3884.852500 | 3885.000000 | 3887.852500 | 3889.852500 | 3892.852500 | 3895.852500 | 3897.852500,15,1
2025-10-02,2025-10-01,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,1,15,3858.403333,3884.403333,3871.403333,26.0,80.276397,3849.38,22.023333,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3858.403333 | 3860.403333 | 3863.403333 | 3866.403333 | 3868.403333 | 3871.250000 | 3871.403333 | 3871.403333 | 3871.500000 | 3871.750000 | 3874.403333 | 3876.403333 | 3879.403333 | 3882.403333 | 3884.403333,15,1
2025-10-02,2025-10-01,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,1,15,3858.3175,3884.3175,3871.3175,26.0,72.837796,3832.79,38.5275,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3858.317500 | 3860.317500 | 3863.317500 | 3866.317500 | 3868.317500 | 3871.000000 | 3871.250000 | 3871.317500 | 3871.317500 | 3871.500000 | 3874.317500 | 3876.317500 | 3879.317500 | 3882.317500 | 3884.317500,15,1
2025-10-02,2025-10-01,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,3865.54,PREV_CLOSE_PROXY,,NEUTRAL,1,15,3837.32625,3863.32625,3850.32625,26.0,76.969807,3817.0,33.32625,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3837.326250 | 3839.326250 | 3842.326250 | 3845.326250 | 3847.326250 | 3850.000000 | 3850.250000 | 3850.326250 | 3850.326250 | 3850.500000 | 3853.326250 | 3855.326250 | 3858.326250 | 3861.326250 | 3863.326250,15,1
2025-10-03,2025-10-02,L4,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,2,15,3864.3225,3890.3225,3877.3225,26.0,73.003938,3854.23,23.0925,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3864.322500 | 3866.322500 | 3869.322500 | 3872.322500 | 3874.322500 | 3877.000000 | 3877.250000 | 3877.322500 | 3877.322500 | 3877.500000 | 3880.322500 | 3882.322500 | 3885.322500 | 3888.322500 | 3890.322500,15,1
2025-10-03,2025-10-02,L4,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,1,1,3859.91,3859.91,3859.91,0.0,65.003938,3854.23,5.68,False,False,True,RESIDUAL_LEVEL,prior_level_median_residual,3859.910000,1,2
2025-10-03,2025-10-02,L5,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,1,15,3844.423333,3870.423333,3857.423333,26.0,76.100425,3833.88,23.543333,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3844.423333 | 3846.423333 | 3849.423333 | 3852.423333 | 3854.423333 | 3857.250000 | 3857.423333 | 3857.423333 | 3857.500000 | 3857.750000 | 3860.423333 | 3862.423333 | 3865.423333 | 3868.423333 | 3870.423333,15,1
2025-10-03,2025-10-02,L6,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,1,15,3833.2075,3859.2075,3846.2075,26.0,80.277682,3813.75,32.4575,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3833.207500 | 3835.207500 | 3838.207500 | 3841.207500 | 3843.207500 | 3846.000000 | 3846.207500 | 3846.207500 | 3846.250000 | 3846.500000 | 3849.207500 | 3851.207500 | 3854.207500 | 3857.207500 | 3859.207500,15,1
2025-10-03,2025-10-02,L7,RANGE_NORMAL_60_120,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,3856.24,PREV_CLOSE_PROXY,,NEUTRAL,1,15,3816.61125,3842.61125,3829.61125,26.0,74.23557,3794.9,34.71125,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3816.611250 | 3818.611250 | 3821.611250 | 3824.611250 | 3826.611250 | 3829.250000 | 3829.500000 | 3829.611250 | 3829.611250 | 3829.750000 | 3832.611250 | 3834.611250 | 3837.611250 | 3840.611250 | 3842.611250,15,1
2025-10-06,2025-10-03,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,2,15,3842.929982,3868.929982,3855.929982,26.0,47.689585,3872.61,16.680018,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3842.929982 | 3844.929982 | 3847.929982 | 3850.929982 | 3852.929982 | 3855.750000 | 3855.929982 | 3855.929982 | 3856.000000 | 3856.250000 | 3858.929982 | 3860.929982 | 3863.929982 | 3866.929982 | 3868.929982,15,1
2025-10-06,2025-10-03,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,1,1,3838.517482,3838.517482,3838.517482,0.0,39.689585,3872.61,34.092518,False,False,False,RESIDUAL_LEVEL,prior_level_median_residual,3838.517482,1,2
2025-10-06,2025-10-03,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,1,15,3826.41375,3852.41375,3839.41375,26.0,47.691768,3851.28,11.86625,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3826.413750 | 3828.413750 | 3831.413750 | 3834.413750 | 3836.413750 | 3839.250000 | 3839.413750 | 3839.413750 | 3839.500000 | 3839.750000 | 3842.413750 | 3844.413750 | 3847.413750 | 3850.413750 | 3852.413750,15,1
2025-10-06,2025-10-03,L6,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,1,15,3805.51125,3831.51125,3818.51125,26.0,52.259033,3830.61,12.09875,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3805.511250 | 3807.511250 | 3810.511250 | 3813.511250 | 3815.511250 | 3818.250000 | 3818.500000 | 3818.511250 | 3818.511250 | 3818.750000 | 3821.511250 | 3823.511250 | 3826.511250 | 3829.511250 | 3831.511250,15,1
2025-10-06,2025-10-03,L7,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3886.43,PREV_CLOSE_PROXY,,NEUTRAL,1,15,3784.60875,3810.60875,3797.60875,26.0,48.677445,3810.83,13.22125,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant,3784.608750 | 3786.608750 | 3789.608750 | 3792.608750 | 3794.608750 | 3797.250000 | 3797.500000 | 3797.608750 | 3797.608750 | 3797.750000 | 3800.608750 | 3802.608750 | 3805.608750 | 3808.608750 | 3810.608750,15,1
2025-10-07,2025-10-06,L4,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,1,16,3935.6225,3961.6225,3948.6225,26.0,54.009342,3964.13,15.5075,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING | RESIDUAL_LEVEL,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant | prior_level_median_residual,3935.622500 | 3937.622500 | 3940.622500 | 3943.622500 | 3945.622500 | 3948.250000 | 3948.256259 | 3948.500000 | 3948.622500 | 3948.622500 | 3948.750000 | 3951.622500 | 3953.622500 | 3956.622500 | 3959.622500 | 3961.622500,16,1
2025-10-07,2025-10-06,L5,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,1,16,3925.47,3951.47,3938.47,26.0,60.262469,3946.24,7.77,False,False,True,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING | RESIDUAL_LEVEL,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant | prior_level_median_residual,3925.470000 | 3927.470000 | 3930.470000 | 3933.470000 | 3935.470000 | 3938.250000 | 3938.470000 | 3938.470000 | 3938.500000 | 3938.750000 | 3941.470000 | 3943.470000 | 3946.470000 | 3949.470000 | 3950.336250 | 3951.470000,16,1
2025-10-07,2025-10-06,L6,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,1,16,3900.2875,3926.2875,3913.2875,26.0,66.707374,3927.93,14.6425,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING | RESIDUAL_LEVEL,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant | prior_level_median_residual,3900.287500 | 3902.287500 | 3905.287500 | 3908.287500 | 3910.287500 | 3913.000000 | 3913.250000 | 3913.287500 | 3913.287500 | 3913.500000 | 3916.287500 | 3918.287500 | 3921.287500 | 3924.287500 | 3925.386250 | 3926.287500,16,1
2025-10-07,2025-10-06,L7,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3961.0,PREV_CLOSE_PROXY,,NEUTRAL,1,16,3884.74625,3910.9675,3897.856875,26.22125,70.21545,3710.52,187.336875,False,False,False,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING | RESIDUAL_LEVEL,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant | prior_level_median_residual,3884.746250 | 3886.746250 | 3889.746250 | 3892.746250 | 3894.746250 | 3897.500000 | 3897.746250 | 3897.746250 | 3897.750000 | 3898.000000 | 3900.746250 | 3902.746250 | 3905.746250 | 3908.746250 | 3910.746250 | 3910.967500,16,1
2025-10-08,2025-10-07,L4,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,1,17,3959.06,3988.740018,3973.900009,29.680018,59.080291,3970.41,3.490009,False,True,True,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING | RESIDUAL_LEVEL | RESIDUAL_REGIME_LEVEL,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant | prior_level_median_residual | prior_regime_level_median_residual,3959.060000 | 3961.060000 | 3964.060000 | 3967.060000 | 3969.060000 | 3971.750000 | 3972.000000 | 3972.060000 | 3972.060000 | 3972.250000 | 3975.060000 | 3977.060000 | 3980.060000 | 3983.060000 | 3985.060000 | 3987.567500 | 3988.740018,17,1
2025-10-08,2025-10-07,L5,RANGE_COMPRESSED_0_60,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,3984.32,PREV_CLOSE_PROXY,,NEUTRAL,1,17,3940.365,3966.365,3953.365,26.0,57.563564,3949.74,3.625,False,True,True,MICRO_OFFSET | MID_GAP | ORIGINAL_CLUSTER | QUARTER_ROUNDING | RESIDUAL_LEVEL | RESIDUAL_REGIME_LEVEL,adjacent_cluster_midpoint | base_cluster | base_plus_+11 | base_plus_+13 | base_plus_+3 | base_plus_+5 | base_plus_+8 | base_plus_-11 | base_plus_-13 | base_plus_-3 | base_plus_-5 | base_plus_-8 | nearest_quarter_variant | prior_level_median_residual | prior_regime_level_median_residual,3940.365000 | 3942.365000 | 3945.365000 | 3948.365000 | 3950.365000 | 3953.000000 | 3953.250000 | 3953.365000 | 3953.365000 | 3953.500000 | 3956.365000 | 3958.365000 | 3961.365000 | 3963.183125 | 3964.365000 | 3965.231250 | 3966.365000,17,1
