level_date,rows,median_abs_distance,mean_abs_distance,pct_within_3,pct_within_5,dominant_anchor_family,prior_range_fraction_count,prior_hlc_count,box_internal_count,box_edge_count,formula_sequence
2025-10-21,13,4.09,5.211543,46.153846,53.846154,green_box_quarter,1,1,9,2,L1=green_box_quarter::green_box_3_25pct | L2=green_box_quarter::green_box_2_75pct | L3=green_box_midline::green_mid_2 | L4=red_box_midline::red_mid_1 | L5=prior_hlc::previous_mid | L6=prior_range_fraction::prev_range_0.333333 | L7=green_box_quarter::green_box_1_25pct | L8=red_box_quarter::red_box_2_75pct | L9=red_box_edge::red_edge_2 | L10=red_box_midline::red_mid_3 | L11=red_box_quarter::red_box_3_75pct | L12=red_box_edge::red_edge_3 | L13=red_box_midline::red_mid_4
2025-10-22,12,6.005049,7.905954,41.666667,41.666667,prior_range_fraction,5,1,3,3,L1=red_box_quarter::red_box_1_25pct | L2=prior_range_fraction::prev_range_0.75 | L3=prior_range_fraction::prev_range_0.666667 | L4=green_box_edge::green_edge_1 | L5=red_box_edge::red_edge_1 | L6=prior_range_fraction::prev_range_0.333333 | L7=prior_range_fraction::prev_range_0.25 | L8=prior_range_fraction::prev_range_0.125 | L9=prior_hlc::previous_low | L10=red_box_edge::red_edge_2 | L11=red_box_quarter::red_box_3_25pct | L12=red_box_midline::red_mid_3
2025-10-23,10,3.08008,4.548766,50.0,60.0,green_box_quarter,1,0,8,1,L1=green_box_quarter::green_box_3_75pct | L2=green_box_midline::green_mid_3 | L3=green_box_quarter::green_box_3_25pct | L4=green_box_quarter::green_box_2_75pct | L5=green_box_midline::green_mid_2 | L6=prior_range_fraction::prev_range_0.618 | L7=red_box_edge::red_edge_1 | L8=green_box_quarter::green_box_1_25pct | L9=red_box_quarter::red_box_2_75pct | L10=red_box_quarter::red_box_3_25pct
2025-10-24,10,4.369375,3.638416,30.0,70.0,green_box_quarter,2,0,7,1,L1=green_box_midline::green_mid_4 | L2=green_box_edge::green_edge_3 | L3=green_box_quarter::green_box_3_25pct | L4=green_box_quarter::green_box_2_75pct | L5=prior_range_fraction::prev_range_0.75 | L6=prior_range_fraction::prev_range_0.382 | L7=red_box_midline::red_mid_2 | L8=red_box_quarter::red_box_3_25pct | L9=red_box_quarter::red_box_3_75pct | L10=red_box_midline::red_mid_4
2025-10-27,10,3.8725,4.0165,50.0,50.0,green_box_midline,1,0,6,3,L1=green_box_midline::green_mid_4 | L2=green_box_edge::green_edge_3 | L3=green_box_midline::green_mid_3 | L4=green_box_quarter::green_box_2_75pct | L5=red_box_quarter::red_box_1_25pct | L6=green_box_quarter::green_box_1_75pct | L7=prior_range_fraction::prev_range_0.125 | L8=red_box_edge::red_edge_2 | L9=red_box_midline::red_mid_3 | L10=red_box_edge::red_edge_3
2025-10-28,13,2.86848,4.034883,53.846154,61.538462,red_box_quarter,3,0,7,3,L1=green_box_quarter::green_box_4_25pct | L2=green_box_quarter::green_box_3_75pct | L3=green_box_quarter::green_box_3_25pct | L4=green_box_edge::green_edge_2 | L5=prior_range_fraction::prev_range_0.875 | L6=prior_range_fraction::prev_range_0.618 | L7=red_box_edge::red_edge_1 | L8=prior_range_fraction::prev_range_0.125 | L9=red_box_edge::red_edge_2 | L10=red_box_quarter::red_box_3_25pct | L11=red_box_quarter::red_box_3_75pct | L12=red_box_quarter::red_box_4_25pct | L13=red_box_quarter::red_box_4_75pct
2025-10-29,10,2.40375,2.4515,60.0,90.0,green_box_quarter,0,1,7,2,L1=green_box_quarter::green_box_4_25pct | L2=green_box_quarter::green_box_3_75pct | L3=green_box_midline::green_mid_3 | L4=green_box_edge::green_edge_2 | L5=prior_hlc::previous_high | L6=green_box_quarter::green_box_2_25pct | L7=red_box_quarter::red_box_1_75pct | L8=green_box_midline::green_mid_1 | L9=red_box_midline::red_mid_2 | L10=red_box_edge::red_edge_2
2025-10-30,13,4.39875,3.825932,30.769231,53.846154,green_box_quarter,1,0,9,3,L1=green_box_quarter::green_box_4_75pct | L2=green_box_quarter::green_box_4_25pct | L3=green_box_edge::green_edge_3 | L4=green_box_midline::green_mid_3 | L5=green_box_edge::green_edge_2 | L6=green_box_midline::green_mid_2 | L7=prior_range_fraction::prev_range_0.666667 | L8=green_box_quarter::green_box_1_75pct | L9=green_box_quarter::green_box_1_25pct | L10=red_box_quarter::red_box_2_75pct | L11=red_box_quarter::red_box_3_25pct | L12=red_box_quarter::red_box_3_75pct | L13=red_box_edge::red_edge_3
2025-10-31,10,2.50693,3.492719,50.0,60.0,green_box_edge,2,1,5,2,L1=green_box_quarter::green_box_4_25pct | L2=green_box_edge::green_edge_3 | L3=green_box_midline::green_mid_3 | L4=green_box_edge::green_edge_2 | L5=green_box_midline::green_mid_2 | L6=prior_hlc::previous_pivot_hlc3 | L7=prior_range_fraction::prev_range_0.382 | L8=prior_range_fraction::prev_range_0.125 | L9=red_box_quarter::red_box_2_75pct | L10=red_box_quarter::red_box_3_25pct
2025-11-03,11,2.77375,2.954091,54.545455,81.818182,green_box_edge,0,1,6,4,L1=green_box_edge::green_edge_3 | L2=green_box_midline::green_mid_3 | L3=green_box_edge::green_edge_2 | L4=prior_hlc::previous_high | L5=green_box_quarter::green_box_1_75pct | L6=green_box_quarter::green_box_1_25pct | L7=red_box_quarter::red_box_2_75pct | L8=red_box_quarter::red_box_3_25pct | L9=red_box_edge::red_edge_3 | L10=red_box_midline::red_mid_4 | L11=red_box_edge::red_edge_4
2025-11-04,10,1.7125,2.22875,60.0,100.0,red_box_quarter,1,0,7,2,L1=green_box_quarter::green_box_4_25pct | L2=green_box_quarter::green_box_3_75pct | L3=green_box_edge::green_edge_2 | L4=green_box_midline::green_mid_2 | L5=green_box_edge::green_edge_1 | L6=prior_range_fraction::prev_range_0.25 | L7=red_box_quarter::red_box_2_75pct | L8=red_box_quarter::red_box_3_25pct | L9=red_box_quarter::red_box_3_75pct | L10=red_box_quarter::red_box_4_25pct
2025-11-05,8,3.0075,3.024352,50.0,100.0,red_box_quarter,1,1,5,1,L1=green_box_midline::green_mid_3 | L2=green_box_edge::green_edge_2 | L3=prior_hlc::previous_high | L4=prior_range_fraction::prev_range_0.618 | L5=green_box_quarter::green_box_1_25pct | L6=red_box_quarter::red_box_2_75pct | L7=red_box_quarter::red_box_3_25pct | L8=red_box_quarter::red_box_3_75pct
2025-11-06,10,1.925,2.556081,80.0,80.0,green_box_quarter,1,0,7,2,L1=green_box_quarter::green_box_4_75pct | L2=green_box_quarter::green_box_4_25pct | L3=green_box_quarter::green_box_3_75pct | L4=green_box_edge::green_edge_2 | L5=green_box_midline::green_mid_2 | L6=prior_range_fraction::prev_range_0.666667 | L7=red_box_edge::red_edge_1 | L8=red_box_midline::red_mid_2 | L9=red_box_quarter::red_box_3_25pct | L10=red_box_quarter::red_box_3_75pct
2025-11-07,8,2.226875,2.470469,62.5,87.5,red_box_quarter,0,1,5,2,L1=green_box_midline::green_mid_3 | L2=green_box_edge::green_edge_2 | L3=prior_hlc::previous_high | L4=green_box_quarter::green_box_1_75pct | L5=red_box_quarter::red_box_2_25pct | L6=red_box_quarter::red_box_2_75pct | L7=red_box_midline::red_mid_3 | L8=red_box_edge::red_edge_3
2025-11-10,9,2.8575,2.610233,55.555556,100.0,red_box_midline,1,0,6,2,L1=green_box_edge::green_edge_3 | L2=green_box_midline::green_mid_3 | L3=green_box_quarter::green_box_2_75pct | L4=red_box_quarter::red_box_1_25pct | L5=prior_range_fraction::prev_range_0.333333 | L6=red_box_midline::red_mid_2 | L7=red_box_edge::red_edge_2 | L8=red_box_midline::red_mid_3 | L9=red_box_quarter::red_box_4_25pct
2025-11-11,10,2.88125,3.205462,50.0,80.0,green_box_quarter,3,0,7,0,L1=green_box_quarter::green_box_4_25pct | L2=green_box_quarter::green_box_3_75pct | L3=green_box_midline::green_mid_3 | L4=green_box_quarter::green_box_3_25pct | L5=green_box_quarter::green_box_2_75pct | L6=red_box_quarter::red_box_1_25pct | L7=prior_range_fraction::prev_range_0.618 | L8=prior_range_fraction::prev_range_0.333333 | L9=prior_range_fraction::prev_range_0.125 | L10=red_box_quarter::red_box_2_75pct
2025-11-12,8,1.25125,1.578034,87.5,100.0,red_box_quarter,1,0,5,2,L1=green_box_quarter::green_box_3_75pct | L2=green_box_edge::green_edge_2 | L3=green_box_midline::green_mid_2 | L4=prior_range_fraction::prev_range_0.618 | L5=red_box_quarter::red_box_2_25pct | L6=red_box_edge::red_edge_2 | L7=red_box_quarter::red_box_3_75pct | L8=red_box_midline::red_mid_4
2025-11-13,10,4.30506,4.243512,40.0,60.0,green_box_edge,1,1,6,2,L1=green_box_edge::green_edge_3 | L2=green_box_quarter::green_box_3_75pct | L3=green_box_quarter::green_box_3_25pct | L4=green_box_edge::green_edge_2 | L5=green_box_midline::green_mid_2 | L6=red_box_midline::red_mid_1 | L7=prior_range_fraction::prev_range_0.382 | L8=red_box_quarter::red_box_2_25pct | L9=prior_hlc::previous_low | L10=red_box_quarter::red_box_3_25pct
2025-11-14,11,4.21,3.6548,27.272727,63.636364,green_box_midline,1,1,7,2,L1=green_box_midline::green_mid_4 | L2=green_box_edge::green_edge_3 | L3=green_box_midline::green_mid_3 | L4=green_box_edge::green_edge_2 | L5=green_box_midline::green_mid_2 | L6=prior_range_fraction::prev_range_0.618 | L7=green_box_midline::green_mid_1 | L8=prior_hlc::previous_low | L9=red_box_quarter::red_box_3_25pct | L10=red_box_quarter::red_box_3_75pct | L11=red_box_quarter::red_box_4_25pct
2025-11-17,9,3.82036,4.469484,44.444444,66.666667,green_box_quarter,2,1,5,1,L1=green_box_quarter::green_box_2_75pct | L2=red_box_quarter::red_box_1_25pct | L3=prior_range_fraction::prev_range_0.618 | L4=green_box_quarter::green_box_1_75pct | L5=prior_range_fraction::prev_range_0.25 | L6=prior_hlc::previous_low | L7=red_box_edge::red_edge_2 | L8=red_box_quarter::red_box_3_25pct | L9=red_box_midline::red_mid_3
2025-11-18,10,4.148125,3.839575,30.0,60.0,green_box_midline,1,1,6,2,L1=green_box_edge::green_edge_3 | L2=green_box_midline::green_mid_3 | L3=green_box_edge::green_edge_2 | L4=green_box_midline::green_mid_2 | L5=prior_range_fraction::prev_range_0.618 | L6=green_box_midline::green_mid_1 | L7=prior_hlc::previous_low | L8=red_box_quarter::red_box_3_25pct | L9=red_box_quarter::red_box_3_75pct | L10=red_box_quarter::red_box_4_25pct
2025-11-19,9,1.96,2.695556,66.666667,66.666667,green_box_quarter,2,0,5,2,L1=green_box_quarter::green_box_4_75pct | L2=green_box_quarter::green_box_4_25pct | L3=green_box_midline::green_mid_3 | L4=green_box_edge::green_edge_2 | L5=prior_range_fraction::prev_range_0.875 | L6=green_box_quarter::green_box_1_75pct | L7=prior_range_fraction::prev_range_0.125 | L8=red_box_edge::red_edge_2 | L9=red_box_midline::red_mid_3
2025-11-20,8,1.67375,2.321875,62.5,87.5,green_box_edge,1,0,4,3,L1=green_box_edge::green_edge_3 | L2=green_box_quarter::green_box_3_25pct | L3=green_box_quarter::green_box_2_75pct | L4=green_box_edge::green_edge_1 | L5=prior_range_fraction::prev_range_0.25 | L6=red_box_quarter::red_box_2_75pct | L7=red_box_quarter::red_box_3_25pct | L8=red_box_edge::red_edge_3
2025-11-21,9,0.98,2.069167,66.666667,77.777778,prior_hlc,0,2,5,2,L1=green_box_midline::green_mid_4 | L2=green_box_quarter::green_box_3_75pct | L3=green_box_edge::green_edge_2 | L4=prior_hlc::previous_high | L5=prior_hlc::previous_pivot_hlc3 | L6=red_box_quarter::red_box_2_25pct | L7=red_box_edge::red_edge_2 | L8=red_box_quarter::red_box_3_75pct | L9=red_box_midline::red_mid_4
2025-11-24,9,3.13875,3.466111,44.444444,66.666667,green_box_quarter,1,0,5,3,L1=green_box_midline::green_mid_4 | L2=green_box_edge::green_edge_3 | L3=green_box_quarter::green_box_3_25pct | L4=green_box_quarter::green_box_2_75pct | L5=prior_range_fraction::prev_range_0.75 | L6=red_box_edge::red_edge_1 | L7=red_box_quarter::red_box_2_75pct | L8=red_box_quarter::red_box_3_25pct | L9=red_box_edge::red_edge_3
2025-11-25,10,3.10625,2.903755,50.0,90.0,red_box_midline,1,1,5,3,L1=green_box_edge::green_edge_3 | L2=green_box_midline::green_mid_3 | L3=green_box_edge::green_edge_2 | L4=prior_hlc::previous_high | L5=red_box_midline::red_mid_1 | L6=prior_range_fraction::prev_range_0.382 | L7=red_box_midline::red_mid_2 | L8=red_box_edge::red_edge_2 | L9=red_box_midline::red_mid_3 | L10=red_box_quarter::red_box_4_25pct
2025-11-26,10,2.9425,4.6045,50.0,90.0,red_box_edge,1,1,4,4,L1=green_box_edge::green_edge_4 | L2=green_box_quarter::green_box_4_25pct | L3=green_box_midline::green_mid_3 | L4=green_box_quarter::green_box_2_75pct | L5=prior_range_fraction::prev_range_0.75 | L6=prior_hlc::previous_low | L7=red_box_edge::red_edge_2 | L8=red_box_edge::red_edge_3 | L9=red_box_quarter::red_box_4_75pct | L10=red_box_edge::red_edge_4
2025-11-27,9,1.273319,3.643424,66.666667,88.888889,green_box_edge,1,1,3,4,L1=green_box_edge::green_edge_4 | L2=green_box_edge::green_edge_3 | L3=green_box_edge::green_edge_2 | L4=prior_hlc::previous_high | L5=prior_range_fraction::prev_range_0.333333 | L6=red_box_quarter::red_box_2_75pct | L7=red_box_quarter::red_box_3_75pct | L8=red_box_midline::red_mid_4 | L9=red_box_edge::red_edge_4
