level_date,prev_date,level_name,range_bucket,close_position_bucket,rows_bucket,live_reference_price,live_reference_source,live_channel_state,live_channel_norm,actual_published_level,dynamic_candidate_pool_count,dynamic_oracle_candidate_price,dynamic_oracle_abs_error,dynamic_oracle_within_3,dynamic_oracle_within_5,dynamic_oracle_source_family,dynamic_oracle_source_type,dynamic_oracle_prior_sample_count,dynamic_top1_candidate_price,dynamic_top1_abs_error,dynamic_top1_source_family,superset_audited_candidate_price,superset_audited_abs_error,superset_audited_within_5,dynamic_audited_candidate_price,dynamic_audited_abs_error,dynamic_audited_within_3,dynamic_audited_within_5,dynamic_audited_source,dynamic_improved_abs_error,dynamic_residual_recovered_within_5,dynamic_residual_recovered_within_3,dynamic_residual_better_than_superset,dynamic_residual_status
2026-06-30,2026-06-29,L4,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4071.63,81,4071.884375,0.254375,True,True,RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_superset_q25,19.0,4074.989062,3.359062,REGIME_LEVEL_RESIDUAL,4072.66125,1.03125,True,4071.884375,0.254375,True,True,DYNAMIC_RESIDUAL_BETTER,0.776875,False,False,True,DYNAMIC_WITHIN_3
2026-06-30,2026-06-29,L5,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4039.56,82,4039.12,0.44,True,True,RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_q75,20.0,4027.875983,11.684017,REGIME_LEVEL_RESIDUAL,4031.785,7.775,False,4039.12,0.44,True,True,DYNAMIC_RESIDUAL_BETTER,7.335,True,True,True,DYNAMIC_WITHIN_3
2026-06-30,2026-06-29,L6,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,4005.44,81,4003.612813,1.827188,True,True,REGIME_LEVEL_RESIDUAL,superset_base_regime_original_mean,12.0,4010.98125,5.54125,REGIME_LEVEL_RESIDUAL,4012.28125,6.84125,False,4003.612813,1.827188,True,True,DYNAMIC_RESIDUAL_BETTER,5.014062,True,True,True,DYNAMIC_WITHIN_3
2026-06-30,2026-06-29,L7,RANGE_NORMAL_60_120,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4178.97,AUTO_JSON,ema_proxy_up,UP,3967.25,81,3965.89375,1.35625,True,True,SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_q75,175.0,3952.072344,15.177656,REGIME_LEVEL_RESIDUAL,3954.90375,12.34625,False,3965.89375,1.35625,True,True,DYNAMIC_RESIDUAL_BETTER,10.99,True,True,True,DYNAMIC_WITHIN_3
