ranking_dimension,level_name,rows,date_count,median_abs_distance,mean_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,formula_candidate_score,published_rank_low_to_high,published_rank_high_to_low,best_anchor_side,best_box_index,best_anchor_family,best_fraction
fraction_ranking,,40,39,1.340625,1.917188,42.5,70.0,85.0,95.0,97.5,87.548438,,,,,prior_range_fraction,0.875
fraction_ranking,,35,35,1.43848,1.759545,37.142857,62.857143,80.0,97.142857,100.0,85.189514,,,,,prior_range_fraction,0.382
fraction_ranking,,26,26,1.180014,1.773867,42.307692,69.230769,76.923077,88.461538,100.0,81.380733,,,,,prior_range_fraction,0.666667
fraction_ranking,,39,39,1.6825,2.683269,20.512821,56.410256,76.923077,87.179487,94.871795,81.104006,,,,,prior_range_fraction,0.75
fraction_ranking,,37,37,1.06625,2.91973,48.648649,62.162162,72.972973,86.486486,89.189189,80.493834,,,,,prior_range_fraction,0.125
fraction_ranking,,24,24,1.79946,2.011277,37.5,50.0,70.833333,95.833333,100.0,78.734683,,,,,prior_range_fraction,0.618
fraction_ranking,,171,122,1.97,2.524542,31.578947,50.877193,70.175439,87.719298,97.076023,78.583772,,,,,prior_hlc,
fraction_ranking,,28,28,1.275,2.56875,35.714286,60.714286,71.428571,82.142857,96.428571,77.291071,,,,,prior_range_fraction,0.25
fraction_ranking,,175,129,2.50625,3.502757,25.714286,48.0,56.0,72.571429,94.857143,67.077232,,,,,red_box_quarter,0.25
fraction_ranking,,156,122,2.6475,4.104647,18.589744,39.74359,56.410256,73.076923,91.025641,67.035096,,,,,red_box_midline,0.5
fraction_ranking,,178,128,2.673125,3.369445,25.842697,41.573034,55.05618,74.719101,97.191011,66.772244,,,,,green_box_quarter,0.25
fraction_ranking,,163,127,2.75,3.43477,21.472393,38.650307,53.98773,74.233129,96.319018,65.977761,,,,,green_box_midline,0.5
fraction_ranking,,198,146,3.105625,3.636383,19.69697,34.848485,47.979798,72.727273,97.979798,62.008665,,,,,green_box_quarter,0.75
fraction_ranking,,171,127,3.52625,3.907346,16.959064,32.748538,43.859649,72.51462,97.660819,59.049872,,,,,red_box_quarter,0.75
fraction_ranking,,183,136,4.08,25.187131,17.486339,30.601093,42.622951,57.923497,86.885246,53.461202,,,,,red_box_edge,
fraction_ranking,,188,141,4.3675,7.089707,16.489362,26.595745,34.042553,57.978723,84.574468,48.89508,,,,,green_box_edge,
