confidence_tag_v1_5,rows,days,avg_estimated_within_10_rate,avg_estimated_over_20_rate
HIGH_CONFIDENCE_REPRODUCED,9,1,76.93463647417809,11.821758781287999
REJECT_OVER_20_RISK,6,1,15.0997150997151,79.48717948717949
