drift_mode,forecast_rung,origin,source_published_day,assumed_step,assumed_drift,risk_state_v1_3,risk_reasons_v1_3,risk_model_source_ohlc_date,risk_model_source_range,risk_model_source_abs_close_move,risk_model_source_range_vs_atr14,risk_model_source_abs_close_change_vs_atr14,risk_model_source_close_position,forecast_confidence_v1_3
fixed_minus_2,3785.63,extension,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,MEDIUM
fixed_minus_2,3820.51,extension,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,MEDIUM
fixed_minus_2,3855.39,extension,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,MEDIUM
fixed_minus_2,3890.27,persisted,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,HIGH
fixed_minus_2,3927.57,persisted,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,HIGH
fixed_minus_2,3965.25,persisted,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,HIGH
fixed_minus_2,4003.44,persisted,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,HIGH
fixed_minus_2,4037.56,persisted,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,HIGH
fixed_minus_2,4069.63,persisted,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,HIGH
fixed_minus_2,4099.68,persisted,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,HIGH
fixed_minus_2,4135.32,persisted,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,HIGH
fixed_minus_2,4167.4,persisted,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,HIGH
fixed_minus_2,4202.28,extension,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,MEDIUM
fixed_minus_2,4237.16,extension,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,MEDIUM
fixed_minus_2,4272.04,extension,2026-06-30,34.88,-2.0,NORMAL_CARRY,,2026-06-30,120.11999999999989,9.110000000000127,1.043076980331589,0.07910781960390373,0.5338827838827853,MEDIUM
